#    L    TT             EE             BB             TE          
    91   0.215309E+04   0.546159E+00   0.192999E-03  -0.153032E+02
    92   0.217948E+04   0.559444E+00   0.192700E-03  -0.158585E+02
    93   0.220613E+04   0.572711E+00   0.192314E-03  -0.164183E+02
    94   0.223282E+04   0.585923E+00   0.191843E-03  -0.169811E+02
    95   0.225977E+04   0.599083E+00   0.191289E-03  -0.175477E+02
    96   0.228668E+04   0.612177E+00   0.190654E-03  -0.181175E+02
    97   0.231402E+04   0.625194E+00   0.189939E-03  -0.186898E+02
    98   0.234154E+04   0.638126E+00   0.189146E-03  -0.192625E+02
    99   0.236911E+04   0.650939E+00   0.188277E-03  -0.198386E+02
   100   0.239695E+04   0.663635E+00   0.187335E-03  -0.204137E+02
   101   0.242491E+04   0.676276E+00   0.186320E-03  -0.209909E+02
   102   0.245336E+04   0.688714E+00   0.185235E-03  -0.215681E+02
   103   0.248172E+04   0.701025E+00   0.184081E-03  -0.221459E+02
   104   0.251028E+04   0.713212E+00   0.182861E-03  -0.227217E+02
   105   0.253897E+04   0.725202E+00   0.181576E-03  -0.232968E+02
   106   0.256786E+04   0.737071E+00   0.180228E-03  -0.238708E+02
   107   0.259666E+04   0.748673E+00   0.178819E-03  -0.244420E+02
   108   0.262582E+04   0.760084E+00   0.177351E-03  -0.250114E+02
   109   0.265510E+04   0.771231E+00   0.175825E-03  -0.255776E+02
   110   0.268445E+04   0.782117E+00   0.174244E-03  -0.261391E+02
   111   0.271394E+04   0.792817E+00   0.172609E-03  -0.266975E+02
   112   0.274356E+04   0.803258E+00   0.170923E-03  -0.272521E+02
   113   0.277340E+04   0.813442E+00   0.169188E-03  -0.278014E+02
   114   0.280329E+04   0.823295E+00   0.167407E-03  -0.283448E+02
   115   0.283340E+04   0.832968E+00   0.165581E-03  -0.288822E+02
   116   0.286349E+04   0.842238E+00   0.163713E-03  -0.294130E+02
   117   0.289386E+04   0.851181E+00   0.161807E-03  -0.299364E+02
   118   0.292437E+04   0.859947E+00   0.159863E-03  -0.304533E+02
   119   0.295486E+04   0.868388E+00   0.157884E-03  -0.309614E+02
   120   0.298549E+04   0.876358E+00   0.155873E-03  -0.314607E+02
   121   0.301610E+04   0.884153E+00   0.153833E-03  -0.319514E+02
   122   0.304677E+04   0.891480E+00   0.151765E-03  -0.324326E+02
   123   0.307750E+04   0.898412E+00   0.149671E-03  -0.329045E+02
   124   0.310829E+04   0.905025E+00   0.147555E-03  -0.333640E+02
   125   0.313906E+04   0.911247E+00   0.145419E-03  -0.338135E+02
   126   0.316989E+04   0.917152E+00   0.143265E-03  -0.342522E+02
   127   0.320070E+04   0.922594E+00   0.141095E-03  -0.346795E+02
   128   0.323150E+04   0.927722E+00   0.138912E-03  -0.350946E+02
   129   0.326235E+04   0.932389E+00   0.136718E-03  -0.354968E+02
   130   0.329318E+04   0.936595E+00   0.134515E-03  -0.358853E+02
   131   0.332399E+04   0.940492E+00   0.132307E-03  -0.362618E+02
   132   0.335486E+04   0.943929E+00   0.130094E-03  -0.366234E+02
   133   0.338564E+04   0.946982E+00   0.127878E-03  -0.369722E+02
   134   0.341641E+04   0.949650E+00   0.125662E-03  -0.373040E+02
   135   0.344718E+04   0.951859E+00   0.123447E-03  -0.376218E+02
   136   0.347778E+04   0.953609E+00   0.121234E-03  -0.379219E+02
   137   0.350838E+04   0.954974E+00   0.119025E-03  -0.382066E+02
   138   0.353891E+04   0.955881E+00   0.116823E-03  -0.384746E+02
   139   0.356920E+04   0.956477E+00   0.114628E-03  -0.387251E+02
   140   0.359958E+04   0.956540E+00   0.112443E-03  -0.389590E+02
   141   0.362974E+04   0.956144E+00   0.110269E-03  -0.391741E+02
   142   0.365990E+04   0.955363E+00   0.108108E-03  -0.393713E+02
   143   0.369000E+04   0.954198E+00   0.105962E-03  -0.395505E+02
   144   0.371988E+04   0.952573E+00   0.103833E-03  -0.397112E+02
   145   0.374963E+04   0.950638E+00   0.101722E-03  -0.398527E+02
   146   0.377947E+04   0.948170E+00   0.996302E-04  -0.399750E+02
   147   0.380895E+04   0.945391E+00   0.975605E-04  -0.400767E+02
   148   0.383831E+04   0.942153E+00   0.955142E-04  -0.401594E+02
   149   0.386761E+04   0.938530E+00   0.934931E-04  -0.402216E+02
   150   0.389664E+04   0.934597E+00   0.914989E-04  -0.402613E+02
   151   0.392555E+04   0.930279E+00   0.895332E-04  -0.402814E+02
   152   0.395418E+04   0.925499E+00   0.875966E-04  -0.402805E+02
   153   0.398270E+04   0.920405E+00   0.856899E-04  -0.402564E+02
   154   0.401101E+04   0.914995E+00   0.838135E-04  -0.402112E+02
   155   0.403914E+04   0.909265E+00   0.819680E-04  -0.401443E+02
   156   0.406691E+04   0.903215E+00   0.801541E-04  -0.400556E+02
   157   0.409464E+04   0.896841E+00   0.783723E-04  -0.399437E+02
   158   0.412210E+04   0.890218E+00   0.766232E-04  -0.398093E+02
   159   0.414929E+04   0.883193E+00   0.749073E-04  -0.396524E+02
   160   0.417628E+04   0.875913E+00   0.732253E-04  -0.394715E+02
   161   0.420307E+04   0.868450E+00   0.715777E-04  -0.392682E+02
   162   0.422960E+04   0.860655E+00   0.699651E-04  -0.390424E+02
   163   0.425600E+04   0.852599E+00   0.683881E-04  -0.387926E+02
   164   0.428199E+04   0.844354E+00   0.668473E-04  -0.385204E+02
   165   0.430785E+04   0.835843E+00   0.653432E-04  -0.382235E+02
   166   0.433344E+04   0.827215E+00   0.638764E-04  -0.379034E+02
   167   0.435884E+04   0.818243E+00   0.624475E-04  -0.375608E+02
   168   0.438381E+04   0.809297E+00   0.610571E-04  -0.371935E+02
   169   0.440852E+04   0.800078E+00   0.597058E-04  -0.368016E+02
   170   0.443296E+04   0.790806E+00   0.583940E-04  -0.363865E+02
   171   0.445698E+04   0.781480E+00   0.571226E-04  -0.359459E+02
   172   0.448065E+04   0.772023E+00   0.558919E-04  -0.354815E+02
   173   0.450391E+04   0.762433E+00   0.547026E-04  -0.349931E+02
   174   0.452689E+04   0.753006E+00   0.535552E-04  -0.344808E+02
   175   0.454953E+04   0.743441E+00   0.524504E-04  -0.339439E+02
   176   0.457168E+04   0.733960E+00   0.513885E-04  -0.333823E+02
   177   0.459349E+04   0.724485E+00   0.503689E-04  -0.327975E+02
   178   0.461488E+04   0.715233E+00   0.493910E-04  -0.321880E+02
   179   0.463585E+04   0.705905E+00   0.484541E-04  -0.315539E+02
   180   0.465657E+04   0.696718E+00   0.475573E-04  -0.308964E+02
