#    L    TT             EE             TE             PP             TP          
    75   0.260114E+04   0.502158E+00  -0.106938E+02   0.688309E+07   0.121470E+05
    76   0.263517E+04   0.520110E+00  -0.113504E+02   0.684294E+07   0.119670E+05
    77   0.266962E+04   0.538268E+00  -0.120210E+02   0.680269E+07   0.117918E+05
    78   0.270453E+04   0.556662E+00  -0.127071E+02   0.676236E+07   0.116199E+05
    79   0.273968E+04   0.575243E+00  -0.134050E+02   0.672198E+07   0.114499E+05
    80   0.277516E+04   0.594020E+00  -0.141162E+02   0.668158E+07   0.112804E+05
    81   0.281086E+04   0.612945E+00  -0.148410E+02   0.664119E+07   0.111106E+05
    82   0.284687E+04   0.632032E+00  -0.155782E+02   0.660082E+07   0.109411E+05
    83   0.288313E+04   0.651248E+00  -0.163270E+02   0.656050E+07   0.107734E+05
    84   0.291974E+04   0.670579E+00  -0.170850E+02   0.652024E+07   0.106088E+05
    85   0.295657E+04   0.689990E+00  -0.178528E+02   0.648007E+07   0.104484E+05
    86   0.299372E+04   0.709485E+00  -0.186291E+02   0.643999E+07   0.102934E+05
    87   0.303141E+04   0.729032E+00  -0.194130E+02   0.640002E+07   0.101435E+05
    88   0.306918E+04   0.748642E+00  -0.202048E+02   0.636017E+07   0.999842E+04
    89   0.310740E+04   0.768300E+00  -0.210060E+02   0.632045E+07   0.985758E+04
    90   0.314589E+04   0.787968E+00  -0.218138E+02   0.628087E+07   0.972057E+04
    91   0.318459E+04   0.807634E+00  -0.226290E+02   0.624145E+07   0.958702E+04
    92   0.322364E+04   0.827281E+00  -0.234508E+02   0.620217E+07   0.945675E+04
    93   0.326303E+04   0.846898E+00  -0.242791E+02   0.616306E+07   0.932968E+04
    94   0.330256E+04   0.866443E+00  -0.251122E+02   0.612411E+07   0.920570E+04
    95   0.334243E+04   0.885912E+00  -0.259507E+02   0.608533E+07   0.908470E+04
    96   0.338236E+04   0.905285E+00  -0.267938E+02   0.604672E+07   0.896659E+04
    97   0.342278E+04   0.924545E+00  -0.276405E+02   0.600830E+07   0.885126E+04
    98   0.346349E+04   0.943679E+00  -0.284885E+02   0.597005E+07   0.873861E+04
    99   0.350432E+04   0.962647E+00  -0.293406E+02   0.593199E+07   0.862855E+04
   100   0.354550E+04   0.981444E+00  -0.301923E+02   0.589412E+07   0.852095E+04
   101   0.358689E+04   0.100012E+01  -0.310463E+02   0.585645E+07   0.841574E+04
   102   0.362885E+04   0.101854E+01  -0.319003E+02   0.581898E+07   0.831279E+04
   103   0.367079E+04   0.103675E+01  -0.327548E+02   0.578171E+07   0.821202E+04
   104   0.371302E+04   0.105477E+01  -0.336068E+02   0.574465E+07   0.811332E+04
   105   0.375544E+04   0.107250E+01  -0.344576E+02   0.570781E+07   0.801659E+04
   106   0.379815E+04   0.109002E+01  -0.353064E+02   0.567119E+07   0.792172E+04
   107   0.384084E+04   0.110718E+01  -0.361514E+02   0.563479E+07   0.782862E+04
   108   0.388396E+04   0.112405E+01  -0.369934E+02   0.559861E+07   0.773717E+04
   109   0.392729E+04   0.114054E+01  -0.378306E+02   0.556267E+07   0.764729E+04
   110   0.397074E+04   0.115666E+01  -0.386615E+02   0.552697E+07   0.755887E+04
   111   0.401441E+04   0.117248E+01  -0.394873E+02   0.549150E+07   0.747181E+04
   112   0.405827E+04   0.118791E+01  -0.403072E+02   0.545628E+07   0.738610E+04
   113   0.410241E+04   0.120296E+01  -0.411195E+02   0.542130E+07   0.730169E+04
   114   0.414667E+04   0.121754E+01  -0.419231E+02   0.538656E+07   0.721858E+04
   115   0.419120E+04   0.123181E+01  -0.427180E+02   0.535206E+07   0.713673E+04
   116   0.423576E+04   0.124553E+01  -0.435032E+02   0.531781E+07   0.705613E+04
   117   0.428065E+04   0.125878E+01  -0.442777E+02   0.528380E+07   0.697676E+04
   118   0.432572E+04   0.127171E+01  -0.450420E+02   0.525003E+07   0.689859E+04
   119   0.437082E+04   0.128416E+01  -0.457938E+02   0.521651E+07   0.682161E+04
   120   0.441608E+04   0.129598E+01  -0.465329E+02   0.518323E+07   0.674578E+04
   121   0.446136E+04   0.130747E+01  -0.472590E+02   0.515019E+07   0.667110E+04
   122   0.450673E+04   0.131832E+01  -0.479711E+02   0.511740E+07   0.659753E+04
   123   0.455217E+04   0.132860E+01  -0.486692E+02   0.508485E+07   0.652505E+04
   124   0.459770E+04   0.133840E+01  -0.493500E+02   0.505255E+07   0.645365E+04
   125   0.464322E+04   0.134762E+01  -0.500156E+02   0.502049E+07   0.638330E+04
   126   0.468882E+04   0.135635E+01  -0.506650E+02   0.498868E+07   0.631398E+04
   127   0.473440E+04   0.136442E+01  -0.512972E+02   0.495711E+07   0.624567E+04
   128   0.477997E+04   0.137200E+01  -0.519114E+02   0.492579E+07   0.617835E+04
   129   0.482560E+04   0.137891E+01  -0.525065E+02   0.489472E+07   0.611199E+04
   130   0.487121E+04   0.138517E+01  -0.530817E+02   0.486389E+07   0.604657E+04
   131   0.491679E+04   0.139091E+01  -0.536382E+02   0.483331E+07   0.598208E+04
   132   0.496242E+04   0.139600E+01  -0.541730E+02   0.480297E+07   0.591850E+04
   133   0.500794E+04   0.140049E+01  -0.546881E+02   0.477288E+07   0.585582E+04
   134   0.505343E+04   0.140440E+01  -0.551790E+02   0.474303E+07   0.579405E+04
   135   0.509890E+04   0.140765E+01  -0.556485E+02   0.471342E+07   0.573317E+04
   136   0.514418E+04   0.141024E+01  -0.560929E+02   0.468405E+07   0.567317E+04
   137   0.518942E+04   0.141225E+01  -0.565141E+02   0.465492E+07   0.561405E+04
   138   0.523456E+04   0.141360E+01  -0.569107E+02   0.462603E+07   0.555580E+04
   139   0.527943E+04   0.141443E+01  -0.572818E+02   0.459737E+07   0.549841E+04
   140   0.532434E+04   0.141454E+01  -0.576279E+02   0.456894E+07   0.544187E+04
   141   0.536899E+04   0.141399E+01  -0.579468E+02   0.454075E+07   0.538619E+04
   142   0.541360E+04   0.141286E+01  -0.582391E+02   0.451278E+07   0.533134E+04
   143   0.545809E+04   0.141114E+01  -0.585046E+02   0.448505E+07   0.527733E+04
   144   0.550232E+04   0.140877E+01  -0.587426E+02   0.445754E+07   0.522414E+04
   145   0.554634E+04   0.140590E+01  -0.589521E+02   0.443026E+07   0.517178E+04
   146   0.559040E+04   0.140229E+01  -0.591331E+02   0.440320E+07   0.512022E+04
   147   0.563404E+04   0.139818E+01  -0.592839E+02   0.437636E+07   0.506947E+04
   148   0.567748E+04   0.139342E+01  -0.594059E+02   0.434975E+07   0.501951E+04
   149   0.572079E+04   0.138807E+01  -0.594975E+02   0.432335E+07   0.497035E+04
   150   0.576376E+04   0.138223E+01  -0.595564E+02   0.429718E+07   0.492196E+04
   151   0.580652E+04   0.137580E+01  -0.595854E+02   0.427122E+07   0.487435E+04
   152   0.584893E+04   0.136873E+01  -0.595830E+02   0.424548E+07   0.482750E+04
   153   0.589113E+04   0.136117E+01  -0.595469E+02   0.421995E+07   0.478139E+04
   154   0.593304E+04   0.135312E+01  -0.594793E+02   0.419463E+07   0.473601E+04
   155   0.597466E+04   0.134459E+01  -0.593794E+02   0.416953E+07   0.469133E+04
