#    L    TT             EE             BB             TE             PP             TP             EP          
    54   0.201370E+04   0.202703E+00   0.913059E-02  -0.988160E+00   0.170246E-06   0.104699E-02  -0.100858E-05
    55   0.204045E+04   0.214526E+00   0.932014E-02  -0.131164E+01   0.169434E-06   0.102621E-02  -0.997970E-06
    56   0.206762E+04   0.226681E+00   0.950567E-02  -0.165222E+01   0.168608E-06   0.100680E-02  -0.966558E-06
    57   0.209513E+04   0.239061E+00   0.968695E-02  -0.200963E+01   0.167769E-06   0.988539E-03  -0.919572E-06
    58   0.212300E+04   0.251682E+00   0.986376E-02  -0.238422E+01   0.166916E-06   0.971146E-03  -0.862715E-06
    59   0.215108E+04   0.264588E+00   0.100359E-01  -0.277640E+01   0.166052E-06   0.954326E-03  -0.801678E-06
    60   0.217940E+04   0.277837E+00   0.102031E-01  -0.318509E+01   0.165176E-06   0.937789E-03  -0.742142E-06
    61   0.220825E+04   0.291526E+00   0.103653E-01  -0.360920E+01   0.164290E-06   0.921305E-03  -0.688907E-06
    62   0.223705E+04   0.305636E+00   0.105222E-01  -0.404972E+01   0.163394E-06   0.904888E-03  -0.643284E-06
    63   0.226602E+04   0.320119E+00   0.106739E-01  -0.450781E+01   0.162490E-06   0.888614E-03  -0.605707E-06
    64   0.229549E+04   0.334979E+00   0.108203E-01  -0.498484E+01   0.161580E-06   0.872558E-03  -0.576613E-06
    65   0.232507E+04   0.350182E+00   0.109612E-01  -0.548160E+01   0.160665E-06   0.856797E-03  -0.556438E-06
    66   0.235507E+04   0.365657E+00   0.110967E-01  -0.599632E+01   0.159745E-06   0.841398E-03  -0.546105E-06
    67   0.238531E+04   0.381406E+00   0.112266E-01  -0.652602E+01   0.158822E-06   0.826401E-03  -0.548478E-06
    68   0.241606E+04   0.397474E+00   0.113509E-01  -0.706875E+01   0.157896E-06   0.811838E-03  -0.566901E-06
    69   0.244706E+04   0.413824E+00   0.114693E-01  -0.762247E+01   0.156968E-06   0.797740E-03  -0.604718E-06
    70   0.247843E+04   0.430502E+00   0.115818E-01  -0.818855E+01   0.156039E-06   0.784141E-03  -0.665268E-06
    71   0.251000E+04   0.447499E+00   0.116882E-01  -0.876918E+01   0.155108E-06   0.771061E-03  -0.748700E-06
