#    L    TT             EE             BB             TE          
    91   0.215482E+04   0.547609E+00   0.194462E-02  -0.152992E+02
    92   0.218123E+04   0.560918E+00   0.198342E-02  -0.158538E+02
    93   0.220789E+04   0.574208E+00   0.202261E-02  -0.164129E+02
    94   0.223460E+04   0.587444E+00   0.206218E-02  -0.169750E+02
    95   0.226156E+04   0.600627E+00   0.210215E-02  -0.175409E+02
    96   0.228849E+04   0.613746E+00   0.214252E-02  -0.181099E+02
    97   0.231583E+04   0.626786E+00   0.218330E-02  -0.186814E+02
    98   0.234337E+04   0.639743E+00   0.222448E-02  -0.192533E+02
    99   0.237095E+04   0.652580E+00   0.226607E-02  -0.198285E+02
   100   0.239879E+04   0.665301E+00   0.230808E-02  -0.204027E+02
   101   0.242676E+04   0.677966E+00   0.235050E-02  -0.209790E+02
   102   0.245523E+04   0.690428E+00   0.239335E-02  -0.215552E+02
   103   0.248359E+04   0.702765E+00   0.243663E-02  -0.221320E+02
   104   0.251216E+04   0.714977E+00   0.248034E-02  -0.227067E+02
   105   0.254085E+04   0.726993E+00   0.252448E-02  -0.232807E+02
   106   0.256974E+04   0.738888E+00   0.256906E-02  -0.238535E+02
   107   0.259854E+04   0.750516E+00   0.261409E-02  -0.244236E+02
   108   0.262770E+04   0.761954E+00   0.265957E-02  -0.249917E+02
   109   0.265699E+04   0.773128E+00   0.270549E-02  -0.255566E+02
   110   0.268634E+04   0.784041E+00   0.275188E-02  -0.261168E+02
   111   0.271582E+04   0.794769E+00   0.279872E-02  -0.266739E+02
   112   0.274544E+04   0.805239E+00   0.284603E-02  -0.272271E+02
   113   0.277526E+04   0.815452E+00   0.289381E-02  -0.277750E+02
   114   0.280515E+04   0.825336E+00   0.294206E-02  -0.283168E+02
   115   0.283525E+04   0.835039E+00   0.299080E-02  -0.288528E+02
   116   0.286533E+04   0.844340E+00   0.304002E-02  -0.293820E+02
   117   0.289569E+04   0.853316E+00   0.308973E-02  -0.299038E+02
   118   0.292619E+04   0.862115E+00   0.313994E-02  -0.304191E+02
   119   0.295667E+04   0.870591E+00   0.319066E-02  -0.309255E+02
   120   0.298728E+04   0.878595E+00   0.324188E-02  -0.314231E+02
   121   0.301788E+04   0.886428E+00   0.329361E-02  -0.319120E+02
   122   0.304853E+04   0.893791E+00   0.334587E-02  -0.323915E+02
   123   0.307924E+04   0.900762E+00   0.339866E-02  -0.328615E+02
   124   0.311001E+04   0.907416E+00   0.345198E-02  -0.333192E+02
   125   0.314076E+04   0.913679E+00   0.350584E-02  -0.337668E+02
   126   0.317156E+04   0.919627E+00   0.356025E-02  -0.342036E+02
   127   0.320235E+04   0.925113E+00   0.361522E-02  -0.346289E+02
   128   0.323311E+04   0.930287E+00   0.367075E-02  -0.350420E+02
   129   0.326394E+04   0.935002E+00   0.372684E-02  -0.354421E+02
   130   0.329474E+04   0.939258E+00   0.378352E-02  -0.358286E+02
   131   0.332552E+04   0.943205E+00   0.384079E-02  -0.362031E+02
   132   0.335636E+04   0.946695E+00   0.389864E-02  -0.365625E+02
   133   0.338711E+04   0.949803E+00   0.395710E-02  -0.369092E+02
   134   0.341785E+04   0.952528E+00   0.401617E-02  -0.372388E+02
   135   0.344857E+04   0.954797E+00   0.407585E-02  -0.375544E+02
   136   0.347914E+04   0.956609E+00   0.413616E-02  -0.378523E+02
   137   0.350970E+04   0.958038E+00   0.419710E-02  -0.381348E+02
   138   0.354018E+04   0.959011E+00   0.425867E-02  -0.384005E+02
   139   0.357044E+04   0.959676E+00   0.432090E-02  -0.386487E+02
   140   0.360077E+04   0.959811E+00   0.438378E-02  -0.388804E+02
   141   0.363088E+04   0.959489E+00   0.444733E-02  -0.390932E+02
   142   0.366099E+04   0.958785E+00   0.451155E-02  -0.392880E+02
   143   0.369104E+04   0.957700E+00   0.457645E-02  -0.394650E+02
   144   0.372087E+04   0.956158E+00   0.464203E-02  -0.396233E+02
   145   0.375057E+04   0.954309E+00   0.470831E-02  -0.397624E+02
   146   0.378035E+04   0.951929E+00   0.477529E-02  -0.398824E+02
   147   0.380978E+04   0.949243E+00   0.484299E-02  -0.399818E+02
   148   0.383908E+04   0.946100E+00   0.491140E-02  -0.400621E+02
   149   0.386832E+04   0.942577E+00   0.498053E-02  -0.401220E+02
   150   0.389729E+04   0.938746E+00   0.505039E-02  -0.401594E+02
   151   0.392613E+04   0.934534E+00   0.512100E-02  -0.401772E+02
   152   0.395470E+04   0.929864E+00   0.519234E-02  -0.401740E+02
   153   0.398315E+04   0.924883E+00   0.526443E-02  -0.401475E+02
   154   0.401140E+04   0.919590E+00   0.533727E-02  -0.401001E+02
   155   0.403945E+04   0.913981E+00   0.541087E-02  -0.400309E+02
   156   0.406716E+04   0.908056E+00   0.548523E-02  -0.399400E+02
   157   0.409481E+04   0.901812E+00   0.556035E-02  -0.398258E+02
   158   0.412220E+04   0.895321E+00   0.563623E-02  -0.396892E+02
   159   0.414931E+04   0.888434E+00   0.571289E-02  -0.395302E+02
   160   0.417622E+04   0.881295E+00   0.579032E-02  -0.393472E+02
   161   0.420293E+04   0.873979E+00   0.586852E-02  -0.391418E+02
   162   0.422938E+04   0.866334E+00   0.594749E-02  -0.389139E+02
   163   0.425570E+04   0.858433E+00   0.602724E-02  -0.386621E+02
   164   0.428160E+04   0.850347E+00   0.610776E-02  -0.383879E+02
   165   0.430737E+04   0.842001E+00   0.618907E-02  -0.380890E+02
   166   0.433287E+04   0.833541E+00   0.627115E-02  -0.377670E+02
   167   0.435818E+04   0.824742E+00   0.635400E-02  -0.374226E+02
   168   0.438307E+04   0.815974E+00   0.643763E-02  -0.370536E+02
   169   0.440768E+04   0.806938E+00   0.652203E-02  -0.366599E+02
   170   0.443202E+04   0.797854E+00   0.660721E-02  -0.362431E+02
   171   0.445594E+04   0.788720E+00   0.669315E-02  -0.358010E+02
   172   0.447952E+04   0.779460E+00   0.677986E-02  -0.353350E+02
   173   0.450268E+04   0.770073E+00   0.686734E-02  -0.348452E+02
   174   0.452556E+04   0.760852E+00   0.695557E-02  -0.343315E+02
   175   0.454810E+04   0.751500E+00   0.704457E-02  -0.337932E+02
   176   0.457015E+04   0.742236E+00   0.713432E-02  -0.332304E+02
   177   0.459185E+04   0.732982E+00   0.722481E-02  -0.326444E+02
   178   0.461313E+04   0.723958E+00   0.731606E-02  -0.320339E+02
   179   0.463400E+04   0.714862E+00   0.740803E-02  -0.313987E+02
   180   0.465461E+04   0.705912E+00   0.750074E-02  -0.307404E+02
   181   0.467473E+04   0.697105E+00   0.759418E-02  -0.300589E+02
   182   0.469443E+04   0.688511E+00   0.768833E-02  -0.293528E+02
   183   0.471366E+04   0.680051E+00   0.778319E-02  -0.286235E+02
   184   0.473255E+04   0.671796E+00   0.787876E-02  -0.278702E+02
   185   0.475104E+04   0.663890E+00   0.797503E-02  -0.270952E+02
