#    L    TT             EE             BB             TE             PP             TP             EP          
    54   0.200619E+04   0.201618E+00   0.852335E-02  -0.956739E+00   0.169930E-06   0.104505E-02  -0.100654E-05
    55   0.203295E+04   0.213402E+00   0.870037E-02  -0.127905E+01   0.169120E-06   0.102430E-02  -0.995954E-06
    56   0.206012E+04   0.225516E+00   0.887363E-02  -0.161844E+01   0.168296E-06   0.100492E-02  -0.964606E-06
    57   0.208764E+04   0.237855E+00   0.904292E-02  -0.197465E+01   0.167458E-06   0.986698E-03  -0.917713E-06
    58   0.211552E+04   0.250435E+00   0.920806E-02  -0.234803E+01   0.166607E-06   0.969336E-03  -0.860968E-06
    59   0.214361E+04   0.263298E+00   0.936882E-02  -0.273898E+01   0.165744E-06   0.952548E-03  -0.800051E-06
    60   0.217193E+04   0.276504E+00   0.952502E-02  -0.314645E+01   0.164870E-06   0.936042E-03  -0.740632E-06
    61   0.220079E+04   0.290150E+00   0.967645E-02  -0.356932E+01   0.163986E-06   0.919590E-03  -0.687501E-06
    62   0.222959E+04   0.304216E+00   0.982305E-02  -0.400860E+01   0.163092E-06   0.903204E-03  -0.641965E-06
    63   0.225857E+04   0.318655E+00   0.996475E-02  -0.446544E+01   0.162190E-06   0.886962E-03  -0.604460E-06
    64   0.228804E+04   0.333470E+00   0.101015E-01  -0.494122E+01   0.161282E-06   0.870938E-03  -0.575422E-06
    65   0.231763E+04   0.348629E+00   0.102332E-01  -0.543673E+01   0.160368E-06   0.855207E-03  -0.555286E-06
    66   0.234763E+04   0.364058E+00   0.103597E-01  -0.595018E+01   0.159450E-06   0.839837E-03  -0.544973E-06
    67   0.237788E+04   0.379761E+00   0.104811E-01  -0.647861E+01   0.158529E-06   0.824868E-03  -0.547342E-06
    68   0.240863E+04   0.395784E+00   0.105972E-01  -0.702006E+01   0.157605E-06   0.810331E-03  -0.565732E-06
    69   0.243963E+04   0.412088E+00   0.107078E-01  -0.757250E+01   0.156679E-06   0.796260E-03  -0.603479E-06
    70   0.247101E+04   0.428720E+00   0.108129E-01  -0.813732E+01   0.155751E-06   0.782685E-03  -0.663914E-06
    71   0.250258E+04   0.445670E+00   0.109124E-01  -0.871667E+01   0.154823E-06   0.769630E-03  -0.747190E-06
    72   0.253439E+04   0.462902E+00   0.110062E-01  -0.931194E+01   0.153893E-06   0.757073E-03  -0.840744E-06
    73   0.256644E+04   0.480372E+00   0.110944E-01  -0.992382E+01   0.152962E-06   0.744983E-03  -0.928855E-06
    74   0.259878E+04   0.498057E+00   0.111769E-01  -0.105515E+02   0.152030E-06   0.733329E-03  -0.995816E-06
    75   0.263155E+04   0.515955E+00   0.112537E-01  -0.111936E+02   0.151097E-06   0.722081E-03  -0.102594E-05
    76   0.266471E+04   0.534060E+00   0.113248E-01  -0.118495E+02   0.150164E-06   0.711199E-03  -0.100885E-05
    77   0.269830E+04   0.552365E+00   0.113902E-01  -0.125191E+02   0.149231E-06   0.700607E-03  -0.955356E-06
    78   0.273235E+04   0.570901E+00   0.114499E-01  -0.132038E+02   0.148297E-06   0.690223E-03  -0.881562E-06
    79   0.276664E+04   0.589618E+00   0.115039E-01  -0.138999E+02   0.147365E-06   0.679963E-03  -0.803545E-06
    80   0.280127E+04   0.608523E+00   0.115521E-01  -0.146089E+02   0.146433E-06   0.669744E-03  -0.737369E-06
    81   0.283613E+04   0.627570E+00   0.115946E-01  -0.153312E+02   0.145504E-06   0.659508E-03  -0.696142E-06
    82   0.287130E+04   0.646773E+00   0.116314E-01  -0.160654E+02   0.144577E-06   0.649307E-03  -0.681197E-06
    83   0.290673E+04   0.666097E+00   0.116623E-01  -0.168108E+02   0.143652E-06   0.639216E-03  -0.690925E-06
    84   0.294252E+04   0.685529E+00   0.116876E-01  -0.175651E+02   0.142730E-06   0.629313E-03  -0.723720E-06
    85   0.297854E+04   0.705036E+00   0.117071E-01  -0.183289E+02   0.141811E-06   0.619673E-03  -0.777979E-06
    86   0.301488E+04   0.724620E+00   0.117209E-01  -0.191009E+02   0.140896E-06   0.610355E-03  -0.851098E-06
    87   0.305177E+04   0.744250E+00   0.117291E-01  -0.198802E+02   0.139985E-06   0.601350E-03  -0.936480E-06
    88   0.308875E+04   0.763937E+00   0.117316E-01  -0.206670E+02   0.139077E-06   0.592632E-03  -0.102653E-05
