#           k/h    P           
   0.420980E-02   0.696157E+05
   0.429484E-02   0.707207E+05
   0.438160E-02   0.716947E+05
   0.447012E-02   0.726738E+05
   0.456042E-02   0.736577E+05
   0.465255E-02   0.746461E+05
   0.474653E-02   0.757862E+05
   0.484242E-02   0.767841E+05
   0.494024E-02   0.777853E+05
   0.504004E-02   0.787895E+05
   0.514186E-02   0.799522E+05
   0.524573E-02   0.809627E+05
   0.535170E-02   0.819749E+05
   0.545981E-02   0.829882E+05
   0.557011E-02   0.841668E+05
   0.568263E-02   0.851826E+05
   0.579743E-02   0.861983E+05
   0.591455E-02   0.872126E+05
   0.603403E-02   0.883992E+05
   0.615592E-02   0.894116E+05
   0.628028E-02   0.904219E+05
   0.640715E-02   0.914289E+05
   0.653658E-02   0.926134E+05
   0.666863E-02   0.936134E+05
   0.680335E-02   0.946081E+05
   0.694078E-02   0.955969E+05
   0.708100E-02   0.967688E+05
   0.722404E-02   0.977447E+05
   0.736998E-02   0.987124E+05
   0.751886E-02   0.996709E+05
   0.767075E-02   0.100620E+06
   0.782571E-02   0.101757E+06
   0.798380E-02   0.102684E+06
   0.814509E-02   0.103599E+06
   0.830963E-02   0.104500E+06
   0.847750E-02   0.105595E+06
   0.864875E-02   0.106467E+06
   0.882347E-02   0.107324E+06
   0.900171E-02   0.108162E+06
   0.918356E-02   0.109197E+06
   0.936908E-02   0.109999E+06
   0.955835E-02   0.110780E+06
   0.975144E-02   0.111539E+06
   0.994843E-02   0.112497E+06
   0.101494E-01   0.113210E+06
   0.103544E-01   0.113898E+06
   0.105636E-01   0.114559E+06
   0.107770E-01   0.115420E+06
   0.109947E-01   0.116026E+06
   0.112168E-01   0.116600E+06
   0.114434E-01   0.117143E+06
   0.116746E-01   0.117652E+06
   0.119104E-01   0.118361E+06
   0.121510E-01   0.118803E+06
   0.123965E-01   0.119210E+06
   0.126469E-01   0.119580E+06
   0.129024E-01   0.120150E+06
   0.131631E-01   0.120441E+06
   0.134290E-01   0.120686E+06
   0.137003E-01   0.120882E+06
   0.139770E-01   0.121265E+06
   0.142594E-01   0.121360E+06
   0.145474E-01   0.121413E+06
   0.148413E-01   0.121433E+06
   0.151411E-01   0.121667E+06
   0.154470E-01   0.121639E+06
   0.157590E-01   0.121585E+06
   0.160774E-01   0.121489E+06
   0.164022E-01   0.121578E+06
   0.167335E-01   0.121355E+06
   0.170716E-01   0.121050E+06
   0.174164E-01   0.120665E+06
   0.177683E-01   0.120448E+06
   0.181272E-01   0.119928E+06
   0.184934E-01   0.119355E+06
   0.188670E-01   0.118735E+06
   0.192481E-01   0.118065E+06
   0.196370E-01   0.117569E+06
   0.200337E-01   0.116770E+06
   0.204384E-01   0.115895E+06
   0.208513E-01   0.114938E+06
   0.212725E-01   0.114132E+06
   0.217022E-01   0.113031E+06
   0.221406E-01   0.111876E+06
   0.225879E-01   0.110676E+06
   0.230442E-01   0.109658E+06
   0.235097E-01   0.108385E+06
   0.239847E-01   0.107078E+06
   0.244692E-01   0.105737E+06
   0.249635E-01   0.104569E+06
   0.254678E-01   0.103155E+06
   0.259823E-01   0.101705E+06
   0.265072E-01   0.100218E+06
   0.270426E-01   0.988902E+05
   0.275889E-01   0.973222E+05
   0.281463E-01   0.957155E+05
   0.287149E-01   0.940747E+05
   0.292949E-01   0.925904E+05
   0.298867E-01   0.908938E+05
   0.304905E-01   0.891789E+05
   0.311064E-01   0.874512E+05
   0.317348E-01   0.857175E+05
   0.323759E-01   0.841527E+05
   0.330299E-01   0.824231E+05
   0.336972E-01   0.807067E+05
   0.343779E-01   0.790087E+05
   0.350724E-01   0.774880E+05
   0.357809E-01   0.758345E+05
   0.365038E-01   0.742101E+05
   0.372412E-01   0.726178E+05
   0.379935E-01   0.712028E+05
   0.387610E-01   0.696792E+05
   0.395440E-01   0.681955E+05
   0.403429E-01   0.667538E+05
   0.411579E-01   0.654875E+05
   0.419893E-01   0.641333E+05
   0.428375E-01   0.628301E+05
   0.437029E-01   0.615823E+05
   0.445858E-01   0.605152E+05
   0.454865E-01   0.593866E+05
   0.464053E-01   0.583203E+05
   0.473428E-01   0.573116E+05
   0.482992E-01   0.563554E+05
   0.492749E-01   0.555589E+05
   0.502703E-01   0.546927E+05
   0.512858E-01   0.538660E+05
   0.523219E-01   0.530750E+05
   0.533789E-01   0.524211E+05
   0.544572E-01   0.516873E+05
   0.555573E-01   0.509733E+05
   0.566796E-01   0.502715E+05
   0.578246E-01   0.496744E+05
   0.589927E-01   0.489736E+05
   0.601845E-01   0.482644E+05
   0.614003E-01   0.475408E+05
   0.626407E-01   0.468912E+05
   0.639061E-01   0.461148E+05
   0.651971E-01   0.452975E+05
   0.665142E-01   0.444308E+05
   0.678578E-01   0.436064E+05
   0.692287E-01   0.426566E+05
   0.706272E-01   0.416803E+05
   0.720539E-01   0.406689E+05
   0.735095E-01   0.396834E+05
   0.749945E-01   0.385466E+05
   0.765095E-01   0.373525E+05
   0.780551E-01   0.361222E+05
   0.796319E-01   0.348731E+05
   0.812406E-01   0.336824E+05
   0.828817E-01   0.324183E+05
   0.845561E-01   0.311624E+05
   0.862642E-01   0.299278E+05
   0.880068E-01   0.287853E+05
   0.897847E-01   0.276305E+05
   0.915985E-01   0.265369E+05
   0.934489E-01   0.255151E+05
   0.953367E-01   0.246234E+05
   0.972626E-01   0.237665E+05
   0.992274E-01   0.230018E+05
   0.101232E+00   0.223283E+05
   0.103277E+00   0.217826E+05
   0.105363E+00   0.212678E+05
   0.107492E+00   0.208187E+05
   0.109663E+00   0.204197E+05
   0.111879E+00   0.200969E+05
   0.114139E+00   0.197524E+05
   0.116445E+00   0.194125E+05
   0.118797E+00   0.190623E+05
   0.121197E+00   0.187258E+05
   0.123645E+00   0.183123E+05
   0.126143E+00   0.178507E+05
   0.128691E+00   0.173351E+05
   0.131291E+00   0.167630E+05
   0.133943E+00   0.161740E+05
   0.136649E+00   0.155120E+05
   0.139409E+00   0.148270E+05
   0.142226E+00   0.141387E+05
   0.145099E+00   0.134931E+05
   0.148030E+00   0.128519E+05
   0.151020E+00   0.122585E+05
   0.154071E+00   0.117240E+05
   0.157184E+00   0.112785E+05
   0.160359E+00   0.108766E+05
   0.163598E+00   0.105398E+05
   0.166903E+00   0.102586E+05
   0.170275E+00   0.100408E+05
   0.173715E+00   0.982685E+04
   0.177224E+00   0.961945E+04
   0.180804E+00   0.939990E+04
   0.184457E+00   0.917219E+04
   0.188183E+00   0.888821E+04
   0.191985E+00   0.856613E+04
   0.195863E+00   0.821195E+04
   0.199820E+00   0.785486E+04
   0.203856E+00   0.747790E+04
   0.207974E+00   0.711401E+04
   0.212176E+00   0.677700E+04
