#           k/h    P           
   0.420980E-02   0.213862E+05
   0.429484E-02   0.217239E+05
   0.438160E-02   0.220260E+05
   0.447012E-02   0.223298E+05
   0.456042E-02   0.226350E+05
   0.465255E-02   0.229418E+05
   0.474653E-02   0.232903E+05
   0.484242E-02   0.236001E+05
   0.494024E-02   0.239109E+05
   0.504004E-02   0.242228E+05
   0.514186E-02   0.245783E+05
   0.524573E-02   0.248922E+05
   0.535170E-02   0.252066E+05
   0.545981E-02   0.255216E+05
   0.557011E-02   0.258819E+05
   0.568263E-02   0.261978E+05
   0.579743E-02   0.265136E+05
   0.591455E-02   0.268292E+05
   0.603403E-02   0.271919E+05
   0.615592E-02   0.275071E+05
   0.628028E-02   0.278215E+05
   0.640715E-02   0.281350E+05
   0.653658E-02   0.284972E+05
   0.666863E-02   0.288087E+05
   0.680335E-02   0.291186E+05
   0.694078E-02   0.294267E+05
   0.708100E-02   0.297851E+05
   0.722404E-02   0.300894E+05
   0.736998E-02   0.303912E+05
   0.751886E-02   0.306903E+05
   0.767075E-02   0.309864E+05
   0.782571E-02   0.313342E+05
   0.798380E-02   0.316239E+05
   0.814509E-02   0.319098E+05
   0.830963E-02   0.321916E+05
   0.847750E-02   0.325261E+05
   0.864875E-02   0.327991E+05
   0.882347E-02   0.330672E+05
   0.900171E-02   0.333299E+05
   0.918356E-02   0.336462E+05
   0.936908E-02   0.338975E+05
   0.955835E-02   0.341426E+05
   0.975144E-02   0.343810E+05
   0.994843E-02   0.346735E+05
   0.101494E-01   0.348977E+05
   0.103544E-01   0.351143E+05
   0.105636E-01   0.353228E+05
   0.107770E-01   0.355856E+05
   0.109947E-01   0.357767E+05
   0.112168E-01   0.359585E+05
   0.114434E-01   0.361305E+05
   0.116746E-01   0.362923E+05
   0.119104E-01   0.365081E+05
   0.121510E-01   0.366491E+05
   0.123965E-01   0.367793E+05
   0.126469E-01   0.368984E+05
   0.129024E-01   0.370713E+05
   0.131631E-01   0.371658E+05
   0.134290E-01   0.372462E+05
   0.137003E-01   0.373114E+05
   0.139770E-01   0.374269E+05
   0.142594E-01   0.374609E+05
   0.145474E-01   0.374822E+05
   0.148413E-01   0.374930E+05
   0.151411E-01   0.375623E+05
   0.154470E-01   0.375586E+05
   0.157590E-01   0.375465E+05
   0.160774E-01   0.375217E+05
   0.164022E-01   0.375463E+05
   0.167335E-01   0.374823E+05
   0.170716E-01   0.373929E+05
   0.174164E-01   0.372787E+05
   0.177683E-01   0.372088E+05
   0.181272E-01   0.370528E+05
   0.184934E-01   0.368803E+05
   0.188670E-01   0.366936E+05
   0.192481E-01   0.364912E+05
   0.196370E-01   0.363351E+05
   0.200337E-01   0.360928E+05
   0.204384E-01   0.358268E+05
   0.208513E-01   0.355354E+05
   0.212725E-01   0.352834E+05
   0.217022E-01   0.349476E+05
   0.221406E-01   0.345947E+05
   0.225879E-01   0.342280E+05
   0.230442E-01   0.339106E+05
   0.235097E-01   0.335213E+05
   0.239847E-01   0.331212E+05
   0.244692E-01   0.327104E+05
   0.249635E-01   0.323467E+05
   0.254678E-01   0.319133E+05
   0.259823E-01   0.314688E+05
   0.265072E-01   0.310126E+05
   0.270426E-01   0.305993E+05
   0.275889E-01   0.301179E+05
   0.281463E-01   0.296244E+05
   0.287149E-01   0.291203E+05
   0.292949E-01   0.286586E+05
   0.298867E-01   0.281370E+05
   0.304905E-01   0.276096E+05
   0.311064E-01   0.270782E+05
   0.317348E-01   0.265447E+05
   0.323759E-01   0.260581E+05
   0.330299E-01   0.255257E+05
   0.336972E-01   0.249973E+05
   0.343779E-01   0.244745E+05
   0.350724E-01   0.240015E+05
   0.357809E-01   0.234923E+05
   0.365038E-01   0.229920E+05
   0.372412E-01   0.225015E+05
   0.379935E-01   0.220614E+05
   0.387610E-01   0.215920E+05
   0.395440E-01   0.211349E+05
   0.403429E-01   0.206907E+05
   0.411579E-01   0.202966E+05
   0.419893E-01   0.198794E+05
   0.428375E-01   0.194779E+05
   0.437029E-01   0.190934E+05
   0.445858E-01   0.187611E+05
   0.454865E-01   0.184135E+05
   0.464053E-01   0.180852E+05
   0.473428E-01   0.177746E+05
   0.482992E-01   0.174803E+05
   0.492749E-01   0.172319E+05
   0.502703E-01   0.169653E+05
   0.512858E-01   0.167110E+05
   0.523219E-01   0.164676E+05
   0.533789E-01   0.162635E+05
   0.544572E-01   0.160378E+05
   0.555573E-01   0.158183E+05
   0.566796E-01   0.156024E+05
   0.578246E-01   0.154159E+05
   0.589927E-01   0.152003E+05
   0.601845E-01   0.149821E+05
   0.614003E-01   0.147593E+05
   0.626407E-01   0.145565E+05
   0.639061E-01   0.143173E+05
   0.651971E-01   0.140653E+05
   0.665142E-01   0.137979E+05
   0.678578E-01   0.135408E+05
