#           k/h    P           
   0.420980E-02   0.218305E+05
   0.429484E-02   0.221761E+05
   0.438160E-02   0.224831E+05
   0.447012E-02   0.227916E+05
   0.456042E-02   0.231018E+05
   0.465255E-02   0.234133E+05
   0.474653E-02   0.237700E+05
   0.484242E-02   0.240845E+05
   0.494024E-02   0.244002E+05
   0.504004E-02   0.247169E+05
   0.514186E-02   0.250806E+05
   0.524573E-02   0.253993E+05
   0.535170E-02   0.257185E+05
   0.545981E-02   0.260382E+05
   0.557011E-02   0.264069E+05
   0.568263E-02   0.267274E+05
   0.579743E-02   0.270479E+05
   0.591455E-02   0.273681E+05
   0.603403E-02   0.277393E+05
   0.615592E-02   0.280590E+05
   0.628028E-02   0.283779E+05
   0.640715E-02   0.286958E+05
   0.653658E-02   0.290664E+05
   0.666863E-02   0.293822E+05
   0.680335E-02   0.296964E+05
   0.694078E-02   0.300088E+05
   0.708100E-02   0.303754E+05
   0.722404E-02   0.306838E+05
   0.736998E-02   0.309896E+05
   0.751886E-02   0.312926E+05
   0.767075E-02   0.315925E+05
   0.782571E-02   0.319483E+05
   0.798380E-02   0.322417E+05
   0.814509E-02   0.325311E+05
   0.830963E-02   0.328163E+05
   0.847750E-02   0.331586E+05
   0.864875E-02   0.334348E+05
   0.882347E-02   0.337060E+05
   0.900171E-02   0.339716E+05
   0.918356E-02   0.342953E+05
   0.936908E-02   0.345493E+05
   0.955835E-02   0.347969E+05
   0.975144E-02   0.350377E+05
   0.994843E-02   0.353371E+05
   0.101494E-01   0.355634E+05
   0.103544E-01   0.357819E+05
   0.105636E-01   0.359920E+05
   0.107770E-01   0.362612E+05
   0.109947E-01   0.364537E+05
   0.112168E-01   0.366366E+05
   0.114434E-01   0.368092E+05
   0.116746E-01   0.369717E+05
   0.119104E-01   0.371929E+05
   0.121510E-01   0.373342E+05
   0.123965E-01   0.374645E+05
   0.126469E-01   0.375835E+05
   0.129024E-01   0.377610E+05
   0.131631E-01   0.378549E+05
   0.134290E-01   0.379344E+05
   0.137003E-01   0.379985E+05
   0.139770E-01   0.381175E+05
   0.142594E-01   0.381498E+05
   0.145474E-01   0.381690E+05
   0.148413E-01   0.381777E+05
   0.151411E-01   0.382497E+05
   0.154470E-01   0.382436E+05
   0.157590E-01   0.382289E+05
   0.160774E-01   0.382012E+05
   0.164022E-01   0.382277E+05
   0.167335E-01   0.381601E+05
   0.170716E-01   0.380670E+05
   0.174164E-01   0.379487E+05
   0.177683E-01   0.378789E+05
   0.181272E-01   0.377177E+05
   0.184934E-01   0.375398E+05
   0.188670E-01   0.373474E+05
   0.192481E-01   0.371391E+05
   0.196370E-01   0.369817E+05
   0.200337E-01   0.367327E+05
   0.204384E-01   0.364598E+05
   0.208513E-01   0.361610E+05
   0.212725E-01   0.359059E+05
   0.217022E-01   0.355619E+05
   0.221406E-01   0.352006E+05
   0.225879E-01   0.348253E+05
   0.230442E-01   0.345038E+05
   0.235097E-01   0.341055E+05
   0.239847E-01   0.336964E+05
   0.244692E-01   0.332764E+05
   0.249635E-01   0.329076E+05
   0.254678E-01   0.324647E+05
   0.259823E-01   0.320105E+05
   0.265072E-01   0.315445E+05
   0.270426E-01   0.311253E+05
   0.275889E-01   0.306337E+05
   0.281463E-01   0.301300E+05
   0.287149E-01   0.296154E+05
   0.292949E-01   0.291469E+05
   0.298867E-01   0.286147E+05
   0.304905E-01   0.280766E+05
   0.311064E-01   0.275345E+05
   0.317348E-01   0.269903E+05
   0.323759E-01   0.264965E+05
   0.330299E-01   0.259536E+05
   0.336972E-01   0.254148E+05
   0.343779E-01   0.248817E+05
   0.350724E-01   0.244018E+05
   0.357809E-01   0.238827E+05
   0.365038E-01   0.233726E+05
   0.372412E-01   0.228725E+05
   0.379935E-01   0.224260E+05
   0.387610E-01   0.219475E+05
   0.395440E-01   0.214815E+05
   0.403429E-01   0.210287E+05
   0.411579E-01   0.206290E+05
   0.419893E-01   0.202037E+05
   0.428375E-01   0.197945E+05
   0.437029E-01   0.194026E+05
   0.445858E-01   0.190656E+05
   0.454865E-01   0.187112E+05
   0.464053E-01   0.183764E+05
   0.473428E-01   0.180597E+05
   0.482992E-01   0.177596E+05
   0.492749E-01   0.175079E+05
   0.502703E-01   0.172360E+05
   0.512858E-01   0.169766E+05
   0.523219E-01   0.167283E+05
   0.533789E-01   0.165216E+05
   0.544572E-01   0.162913E+05
   0.555573E-01   0.160673E+05
   0.566796E-01   0.158471E+05
