#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.175948E-03   0.203576E+08   0.203574E+08   0.230088E+08   0.228909E+08   0.000000E+00   0.203576E+08   0.203576E+08   0.203647E+08  -0.457779E+00   0.993376E+07   0.993370E+07   0.108663E+03
   0.194282E-03   0.203556E+08   0.203554E+08   0.221812E+08   0.220415E+08   0.000000E+00   0.203556E+08   0.203556E+08   0.203625E+08  -0.457723E+00   0.993277E+07   0.993270E+07   0.118871E+03
   0.214526E-03   0.203532E+08   0.203529E+08   0.212094E+08   0.210449E+08   0.000000E+00   0.203532E+08   0.203532E+08   0.203598E+08  -0.457655E+00   0.993157E+07   0.993148E+07   0.129779E+03
   0.236880E-03   0.203503E+08   0.203499E+08   0.200777E+08   0.198856E+08   0.000000E+00   0.203502E+08   0.203502E+08   0.203565E+08  -0.457573E+00   0.993011E+07   0.993001E+07   0.141347E+03
   0.261562E-03   0.203468E+08   0.203463E+08   0.187738E+08   0.185514E+08   0.000000E+00   0.203467E+08   0.203467E+08   0.203525E+08  -0.457474E+00   0.992834E+07   0.992822E+07   0.153502E+03
   0.288817E-03   0.203425E+08   0.203419E+08   0.172905E+08   0.170362E+08   0.000000E+00   0.203424E+08   0.203424E+08   0.203477E+08  -0.457356E+00   0.992621E+07   0.992606E+07   0.166125E+03
   0.318912E-03   0.203373E+08   0.203367E+08   0.156301E+08   0.153436E+08   0.000000E+00   0.203372E+08   0.203372E+08   0.203420E+08  -0.457215E+00   0.992363E+07   0.992346E+07   0.179041E+03
   0.352142E-03   0.203311E+08   0.203303E+08   0.138084E+08   0.134914E+08   0.000000E+00   0.203310E+08   0.203310E+08   0.203352E+08  -0.457047E+00   0.992053E+07   0.992032E+07   0.192012E+03
   0.388836E-03   0.203236E+08   0.203227E+08   0.118593E+08   0.115164E+08   0.000000E+00   0.203234E+08   0.203234E+08   0.203271E+08  -0.456848E+00   0.991680E+07   0.991656E+07   0.204724E+03
   0.429352E-03   0.203146E+08   0.203135E+08   0.983892E+07   0.947849E+07   0.000000E+00   0.203144E+08   0.203144E+08   0.203175E+08  -0.456613E+00   0.991232E+07   0.991205E+07   0.216789E+03
   0.474091E-03   0.203039E+08   0.203026E+08   0.782783E+07   0.746244E+07   0.000000E+00   0.203037E+08   0.203037E+08   0.203061E+08  -0.456336E+00   0.990698E+07   0.990666E+07   0.227744E+03
   0.523491E-03   0.202912E+08   0.202896E+08   0.592786E+07   0.557419E+07   0.000000E+00   0.202909E+08   0.202909E+08   0.202927E+08  -0.456013E+00   0.990063E+07   0.990026E+07   0.237076E+03
   0.578038E-03   0.202760E+08   0.202743E+08   0.425171E+07   0.392930E+07   0.000000E+00   0.202757E+08   0.202757E+08   0.202770E+08  -0.455638E+00   0.989309E+07   0.989267E+07   0.244249E+03
   0.638270E-03   0.202582E+08   0.202561E+08   0.290239E+07   0.263080E+07   0.000000E+00   0.202578E+08   0.202578E+08   0.202587E+08  -0.455204E+00   0.988420E+07   0.988373E+07   0.248761E+03
   0.704777E-03   0.202372E+08   0.202348E+08   0.194362E+07   0.173798E+07   0.000000E+00   0.202368E+08   0.202368E+08   0.202373E+08  -0.454703E+00   0.987376E+07   0.987323E+07   0.250207E+03
   0.778215E-03   0.202126E+08   0.202099E+08   0.136896E+07   0.123458E+07   0.000000E+00   0.202121E+08   0.202121E+08   0.202125E+08  -0.454127E+00   0.986156E+07   0.986098E+07   0.248346E+03
   0.859305E-03   0.201839E+08   0.201809E+08   0.108610E+07   0.101428E+07   0.000000E+00   0.201834E+08   0.201834E+08   0.201837E+08  -0.453465E+00   0.984737E+07   0.984675E+07   0.243144E+03
   0.948844E-03   0.201506E+08   0.201473E+08   0.938482E+06   0.906716E+06   0.000000E+00   0.201500E+08   0.201500E+08   0.201503E+08  -0.452704E+00   0.983094E+07   0.983027E+07   0.234777E+03
   0.104771E-02   0.201120E+08   0.201085E+08   0.774926E+06   0.754081E+06   0.000000E+00   0.201114E+08   0.201114E+08   0.201117E+08  -0.451830E+00   0.981198E+07   0.981128E+07   0.223582E+03
   0.115688E-02   0.200676E+08   0.200638E+08   0.540116E+06   0.507246E+06   0.000000E+00   0.200670E+08   0.200670E+08   0.200672E+08  -0.450824E+00   0.979018E+07   0.978945E+07   0.209986E+03
   0.127743E-02   0.200166E+08   0.200126E+08   0.308598E+06   0.257784E+06   0.000000E+00   0.200159E+08   0.200159E+08   0.200160E+08  -0.449670E+00   0.976516E+07   0.976442E+07   0.194469E+03
   0.141054E-02   0.199581E+08   0.199540E+08   0.191325E+06   0.132555E+06   0.000000E+00   0.199574E+08   0.199574E+08   0.199574E+08  -0.448350E+00   0.973653E+07   0.973578E+07   0.177618E+03
   0.155752E-02   0.198912E+08   0.198871E+08   0.178028E+06  -0.276890E+06   0.000000E+00   0.198905E+08   0.198905E+08   0.198905E+08  -0.446842E+00   0.970386E+07   0.970312E+07   0.160198E+03
   0.171981E-02   0.198151E+08   0.198109E+08   0.138598E+06  -0.226212E+06   0.000000E+00   0.198144E+08   0.198144E+08   0.198144E+08  -0.445129E+00   0.966664E+07   0.966590E+07   0.143111E+03
   0.189901E-02   0.197285E+08   0.197244E+08   0.453897E+05  -0.184710E+06   0.000000E+00   0.197278E+08   0.197278E+08   0.197278E+08  -0.443183E+00   0.962437E+07   0.962365E+07   0.127184E+03
   0.209689E-02   0.196305E+08   0.196263E+08   0.188056E+05  -0.150734E+06   0.000000E+00   0.196298E+08   0.196298E+08   0.196298E+08  -0.440979E+00   0.957650E+07   0.957579E+07   0.113007E+03
   0.231539E-02   0.195198E+08   0.195156E+08   0.348011E+05  -0.122925E+06   0.000000E+00   0.195191E+08   0.195191E+08   0.195191E+08  -0.438490E+00   0.952245E+07   0.952175E+07   0.100909E+03
   0.255665E-02   0.193951E+08   0.193908E+08  -0.231111E+03  -0.100172E+06   0.000000E+00   0.193944E+08   0.193944E+08   0.193944E+08  -0.435688E+00   0.946159E+07   0.946089E+07   0.908599E+02
   0.282305E-02   0.192552E+08   0.192507E+08   0.116148E+04  -0.815631E+05   0.000000E+00   0.192544E+08   0.192544E+08   0.192544E+08  -0.432543E+00   0.939328E+07   0.939258E+07   0.823832E+02
   0.311721E-02   0.190986E+08   0.190939E+08  -0.707253E+04  -0.663502E+05   0.000000E+00   0.190978E+08   0.190978E+08   0.190978E+08  -0.429024E+00   0.931686E+07   0.931616E+07   0.748372E+02
   0.344202E-02   0.189241E+08   0.189191E+08  -0.110500E+05  -0.539199E+05   0.000000E+00   0.189232E+08   0.189232E+08   0.189232E+08  -0.425101E+00   0.923166E+07   0.923096E+07   0.676964E+02
   0.380068E-02   0.187300E+08   0.187248E+08  -0.176081E+05  -0.437694E+05   0.000000E+00   0.187292E+08   0.187292E+08   0.187291E+08  -0.420741E+00   0.913697E+07   0.913628E+07   0.608406E+02
