#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.289256E+00   0.563174E+06   0.560098E+06   0.157594E+00  -0.227013E+00   0.000000E+00   0.562658E+06   0.562658E+06   0.562658E+06  -0.126398E-01   0.274492E+06   0.274454E+06   0.430970E-01
   0.295411E+00   0.547648E+06   0.544744E+06   0.146935E+00  -0.211656E+00   0.000000E+00   0.547160E+06   0.547160E+06   0.547160E+06  -0.122916E-01   0.266931E+06   0.266896E+06   0.401606E-01
   0.301566E+00   0.533039E+06   0.530298E+06   0.137243E+00  -0.197691E+00   0.000000E+00   0.532579E+06   0.532579E+06   0.532579E+06  -0.119641E-01   0.259818E+06   0.259784E+06   0.374956E-01
   0.307721E+00   0.518667E+06   0.516056E+06   0.128257E+00  -0.184746E+00   0.000000E+00   0.518229E+06   0.518229E+06   0.518229E+06  -0.116417E-01   0.252817E+06   0.252784E+06   0.352908E-01
   0.313876E+00   0.504153E+06   0.501628E+06   0.119827E+00  -0.172603E+00   0.000000E+00   0.503729E+06   0.503729E+06   0.503729E+06  -0.113160E-01   0.245743E+06   0.245712E+06   0.335800E-01
   0.320031E+00   0.489448E+06   0.486969E+06   0.111899E+00  -0.161184E+00   0.000000E+00   0.489032E+06   0.489032E+06   0.489032E+06  -0.109858E-01   0.238573E+06   0.238542E+06   0.322614E-01
   0.326186E+00   0.474820E+06   0.472367E+06   0.104494E+00  -0.150519E+00   0.000000E+00   0.474408E+06   0.474408E+06   0.474408E+06  -0.106573E-01   0.231439E+06   0.231409E+06   0.311608E-01
   0.332341E+00   0.460681E+06   0.458250E+06   0.976592E-01  -0.140675E+00   0.000000E+00   0.460273E+06   0.460273E+06   0.460273E+06  -0.103397E-01   0.224543E+06   0.224513E+06   0.301038E-01
   0.338496E+00   0.447383E+06   0.444987E+06   0.914209E-01  -0.131690E+00   0.000000E+00   0.446980E+06   0.446980E+06   0.446980E+06  -0.100411E-01   0.218059E+06   0.218029E+06   0.289708E-01
   0.344651E+00   0.435123E+06   0.432784E+06   0.857680E-01  -0.123547E+00   0.000000E+00   0.434731E+06   0.434731E+06   0.434731E+06  -0.976596E-02   0.212083E+06   0.212054E+06   0.277230E-01
   0.350806E+00   0.423888E+06   0.421623E+06   0.806478E-01  -0.116171E+00   0.000000E+00   0.423508E+06   0.423508E+06   0.423508E+06  -0.951384E-02   0.206608E+06   0.206580E+06   0.263957E-01
   0.356961E+00   0.413460E+06   0.411279E+06   0.759756E-01  -0.109441E+00   0.000000E+00   0.413094E+06   0.413094E+06   0.413094E+06  -0.927990E-02   0.201527E+06   0.201500E+06   0.250667E-01
   0.363115E+00   0.403551E+06   0.401452E+06   0.716635E-01  -0.103228E+00   0.000000E+00   0.403199E+06   0.403199E+06   0.403199E+06  -0.905762E-02   0.196700E+06   0.196674E+06   0.238194E-01
   0.369270E+00   0.393923E+06   0.391897E+06   0.676421E-01  -0.974354E-01   0.000000E+00   0.393583E+06   0.393583E+06   0.393583E+06  -0.884161E-02   0.192009E+06   0.191984E+06   0.227127E-01
   0.375425E+00   0.384424E+06   0.382454E+06   0.638645E-01  -0.919939E-01   0.000000E+00   0.384093E+06   0.384093E+06   0.384093E+06  -0.862843E-02   0.187379E+06   0.187355E+06   0.217647E-01
   0.381580E+00   0.374998E+06   0.373070E+06   0.603047E-01  -0.868663E-01   0.000000E+00   0.374674E+06   0.374674E+06   0.374674E+06  -0.841683E-02   0.182784E+06   0.182760E+06   0.209537E-01
   0.387735E+00   0.365708E+06   0.363812E+06   0.569579E-01  -0.820457E-01   0.000000E+00   0.365390E+06   0.365390E+06   0.365390E+06  -0.820826E-02   0.178255E+06   0.178231E+06   0.202338E-01
   0.393890E+00   0.356688E+06   0.354821E+06   0.538298E-01  -0.775401E-01   0.000000E+00   0.356374E+06   0.356374E+06   0.356374E+06  -0.800574E-02   0.173857E+06   0.173834E+06   0.195547E-01
   0.400045E+00   0.348058E+06   0.346223E+06   0.509231E-01  -0.733533E-01   0.000000E+00   0.347750E+06   0.347750E+06   0.347750E+06  -0.781200E-02   0.169649E+06   0.169627E+06   0.188778E-01
   0.406200E+00   0.339881E+06   0.338084E+06   0.482311E-01  -0.694756E-01   0.000000E+00   0.339579E+06   0.339579E+06   0.339579E+06  -0.762845E-02   0.165663E+06   0.165641E+06   0.181855E-01
   0.412355E+00   0.332166E+06   0.330413E+06   0.457397E-01  -0.658868E-01   0.000000E+00   0.331872E+06   0.331872E+06   0.331872E+06  -0.745530E-02   0.161903E+06   0.161881E+06   0.174818E-01
   0.418510E+00   0.324867E+06   0.323161E+06   0.434288E-01  -0.625579E-01   0.000000E+00   0.324581E+06   0.324581E+06   0.324581E+06  -0.729151E-02   0.158346E+06   0.158325E+06   0.167858E-01
   0.424665E+00   0.317885E+06   0.316226E+06   0.412729E-01  -0.594521E-01   0.000000E+00   0.317607E+06   0.317607E+06   0.317607E+06  -0.713484E-02   0.154944E+06   0.154923E+06   0.161202E-01
   0.430820E+00   0.311115E+06   0.309499E+06   0.392481E-01  -0.565355E-01   0.000000E+00   0.310844E+06   0.310844E+06   0.310844E+06  -0.698292E-02   0.151645E+06   0.151625E+06   0.155028E-01
   0.436975E+00   0.304500E+06   0.302922E+06   0.373392E-01  -0.537856E-01   0.000000E+00   0.304235E+06   0.304235E+06   0.304235E+06  -0.683446E-02   0.148420E+06   0.148401E+06   0.149413E-01
   0.596509E+00   0.187134E+06   0.186157E+06   0.123142E-01  -0.177382E-01   0.000000E+00   0.186970E+06   0.186970E+06   0.186970E+06  -0.420017E-02   0.912131E+05   0.912009E+05   0.679643E-02
   0.832495E+00   0.109639E+06   0.109068E+06   0.370415E-02  -0.533573E-02   0.000000E+00   0.109543E+06   0.109543E+06   0.109543E+06  -0.246083E-02   0.534406E+05   0.534334E+05   0.288159E-02
   0.116184E+01   0.634339E+05   0.631030E+05   0.110030E-02  -0.158496E-02   0.000000E+00   0.633783E+05   0.633783E+05   0.633783E+05  -0.142376E-02   0.309190E+05   0.309148E+05   0.121958E-02
   0.162148E+01   0.363099E+05   0.361204E+05   0.323352E-03  -0.465794E-03   0.000000E+00   0.362781E+05   0.362781E+05   0.362781E+05  -0.814966E-03   0.176982E+05   0.176957E+05   0.520471E-03
   0.226296E+01   0.205932E+05   0.204855E+05   0.941519E-04  -0.135633E-03   0.000000E+00   0.205751E+05   0.205751E+05   0.205751E+05  -0.462207E-03   0.100375E+05   0.100360E+05   0.227641E-03
