#    L    TT             EE             TE             PP             TP          
    75   0.264425E+04   0.510883E+00  -0.108764E+02   0.698989E+07   0.123393E+05
    76   0.267880E+04   0.529136E+00  -0.115440E+02   0.694899E+07   0.121562E+05
    77   0.271379E+04   0.547596E+00  -0.122259E+02   0.690800E+07   0.119780E+05
    78   0.274923E+04   0.566294E+00  -0.129235E+02   0.686693E+07   0.118033E+05
    79   0.278492E+04   0.585181E+00  -0.136331E+02   0.682581E+07   0.116305E+05
    80   0.282095E+04   0.604268E+00  -0.143562E+02   0.678467E+07   0.114583E+05
    81   0.285720E+04   0.623506E+00  -0.150932E+02   0.674355E+07   0.112856E+05
    82   0.289376E+04   0.642910E+00  -0.158428E+02   0.670245E+07   0.111134E+05
    83   0.293057E+04   0.662444E+00  -0.166042E+02   0.666140E+07   0.109428E+05
    84   0.296774E+04   0.682095E+00  -0.173749E+02   0.662042E+07   0.107754E+05
    85   0.300514E+04   0.701827E+00  -0.181555E+02   0.657952E+07   0.106123E+05
    86   0.304287E+04   0.721643E+00  -0.189448E+02   0.653872E+07   0.104547E+05
    87   0.308113E+04   0.741510E+00  -0.197418E+02   0.649804E+07   0.103024E+05
    88   0.311948E+04   0.761441E+00  -0.205467E+02   0.645748E+07   0.101548E+05
    89   0.315828E+04   0.781419E+00  -0.213611E+02   0.641705E+07   0.100117E+05
    90   0.319737E+04   0.801406E+00  -0.221823E+02   0.637677E+07   0.987243E+04
    91   0.323666E+04   0.821392E+00  -0.230110E+02   0.633665E+07   0.973668E+04
    92   0.327631E+04   0.841358E+00  -0.238464E+02   0.629668E+07   0.960428E+04
    93   0.331631E+04   0.861292E+00  -0.246883E+02   0.625688E+07   0.947513E+04
    94   0.335644E+04   0.881153E+00  -0.255351E+02   0.621725E+07   0.934911E+04
    95   0.339693E+04   0.900937E+00  -0.263874E+02   0.617779E+07   0.922614E+04
    96   0.343747E+04   0.920623E+00  -0.272444E+02   0.613851E+07   0.910609E+04
    97   0.347852E+04   0.940192E+00  -0.281050E+02   0.609941E+07   0.898888E+04
    98   0.351984E+04   0.959634E+00  -0.289669E+02   0.606050E+07   0.887440E+04
    99   0.356130E+04   0.978906E+00  -0.298329E+02   0.602177E+07   0.876253E+04
   100   0.360312E+04   0.998004E+00  -0.306985E+02   0.598325E+07   0.865319E+04
   101   0.364514E+04   0.101698E+01  -0.315664E+02   0.594493E+07   0.854627E+04
   102   0.368774E+04   0.103569E+01  -0.324343E+02   0.590681E+07   0.844165E+04
   103   0.373033E+04   0.105419E+01  -0.333028E+02   0.586890E+07   0.833925E+04
   104   0.377320E+04   0.107249E+01  -0.341686E+02   0.583120E+07   0.823895E+04
   105   0.381627E+04   0.109051E+01  -0.350332E+02   0.579373E+07   0.814066E+04
   106   0.385963E+04   0.110830E+01  -0.358957E+02   0.575647E+07   0.804427E+04
   107   0.390298E+04   0.112573E+01  -0.367544E+02   0.571945E+07   0.794967E+04
   108   0.394676E+04   0.114286E+01  -0.376099E+02   0.568266E+07   0.785676E+04
   109   0.399074E+04   0.115962E+01  -0.384606E+02   0.564610E+07   0.776545E+04
   110   0.403487E+04   0.117599E+01  -0.393048E+02   0.560979E+07   0.767561E+04
   111   0.407920E+04   0.119205E+01  -0.401439E+02   0.557372E+07   0.758718E+04
   112   0.412374E+04   0.120772E+01  -0.409769E+02   0.553790E+07   0.750010E+04
   113   0.416855E+04   0.122300E+01  -0.418021E+02   0.550233E+07   0.741436E+04
   114   0.421348E+04   0.123781E+01  -0.426186E+02   0.546700E+07   0.732994E+04
   115   0.425868E+04   0.125229E+01  -0.434262E+02   0.543192E+07   0.724681E+04
   116   0.430392E+04   0.126623E+01  -0.442238E+02   0.539709E+07   0.716495E+04
   117   0.434949E+04   0.127968E+01  -0.450105E+02   0.536251E+07   0.708433E+04
   118   0.439525E+04   0.129280E+01  -0.457870E+02   0.532817E+07   0.700494E+04
   119   0.444102E+04   0.130544E+01  -0.465507E+02   0.529408E+07   0.692674E+04
   120   0.448697E+04   0.131744E+01  -0.473014E+02   0.526024E+07   0.684973E+04
   121   0.453293E+04   0.132909E+01  -0.480389E+02   0.522665E+07   0.677388E+04
   122   0.457898E+04   0.134010E+01  -0.487623E+02   0.519331E+07   0.669915E+04
   123   0.462512E+04   0.135054E+01  -0.494713E+02   0.516022E+07   0.662554E+04
   124   0.467133E+04   0.136048E+01  -0.501627E+02   0.512738E+07   0.655302E+04
   125   0.471754E+04   0.136983E+01  -0.508387E+02   0.509479E+07   0.648156E+04
