#    L    TT             EE             BB             TE          
    91   0.318838E+04   0.810810E+00   0.383859E-02  -0.226200E+02
    92   0.322746E+04   0.830509E+00   0.392419E-02  -0.234405E+02
    93   0.326689E+04   0.850177E+00   0.401082E-02  -0.242673E+02
    94   0.330645E+04   0.869774E+00   0.409847E-02  -0.250989E+02
    95   0.334635E+04   0.889294E+00   0.418716E-02  -0.259358E+02
    96   0.338630E+04   0.908720E+00   0.427688E-02  -0.267772E+02
    97   0.342676E+04   0.928032E+00   0.436765E-02  -0.276222E+02
    98   0.346748E+04   0.947219E+00   0.445947E-02  -0.284684E+02
    99   0.350834E+04   0.966239E+00   0.455235E-02  -0.293186E+02
   100   0.354954E+04   0.985089E+00   0.464628E-02  -0.301682E+02
   101   0.359095E+04   0.100382E+01   0.474129E-02  -0.310201E+02
   102   0.363292E+04   0.102229E+01   0.483737E-02  -0.318719E+02
   103   0.367488E+04   0.104056E+01   0.493453E-02  -0.327242E+02
   104   0.371711E+04   0.105863E+01   0.503277E-02  -0.335739E+02
   105   0.375955E+04   0.107642E+01   0.513210E-02  -0.344223E+02
   106   0.380226E+04   0.109400E+01   0.523253E-02  -0.352685E+02
   107   0.384496E+04   0.111121E+01   0.533407E-02  -0.361110E+02
   108   0.388807E+04   0.112814E+01   0.543671E-02  -0.369502E+02
   109   0.393140E+04   0.114469E+01   0.554047E-02  -0.377847E+02
   110   0.397485E+04   0.116087E+01   0.564535E-02  -0.386127E+02
   111   0.401851E+04   0.117675E+01   0.575136E-02  -0.394356E+02
   112   0.406237E+04   0.119224E+01   0.585851E-02  -0.402524E+02
   113   0.410649E+04   0.120736E+01   0.596680E-02  -0.410615E+02
   114   0.415074E+04   0.122201E+01   0.607624E-02  -0.418620E+02
   115   0.419524E+04   0.123634E+01   0.618684E-02  -0.426536E+02
   116   0.423978E+04   0.125013E+01   0.629860E-02  -0.434353E+02
   117   0.428465E+04   0.126346E+01   0.641154E-02  -0.442063E+02
   118   0.432969E+04   0.127646E+01   0.652566E-02  -0.449671E+02
   119   0.437476E+04   0.128898E+01   0.664096E-02  -0.457153E+02
   120   0.441999E+04   0.130088E+01   0.675747E-02  -0.464506E+02
   121   0.446523E+04   0.131245E+01   0.687518E-02  -0.471729E+02
   122   0.451056E+04   0.132338E+01   0.699411E-02  -0.478811E+02
   123   0.455597E+04   0.133375E+01   0.711426E-02  -0.485752E+02
   124   0.460145E+04   0.134363E+01   0.723564E-02  -0.492520E+02
   125   0.464692E+04   0.135295E+01   0.735828E-02  -0.499134E+02
   126   0.469247E+04   0.136177E+01   0.748216E-02  -0.505586E+02
   127   0.473800E+04   0.136994E+01   0.760731E-02  -0.511865E+02
   128   0.478351E+04   0.137762E+01   0.773374E-02  -0.517963E+02
   129   0.482908E+04   0.138464E+01   0.786145E-02  -0.523871E+02
   130   0.487462E+04   0.139100E+01   0.799046E-02  -0.529578E+02
   131   0.492013E+04   0.139686E+01   0.812079E-02  -0.535097E+02
   132   0.496569E+04   0.140206E+01   0.825243E-02  -0.540399E+02
   133   0.501114E+04   0.140668E+01   0.838540E-02  -0.545503E+02
   134   0.505656E+04   0.141071E+01   0.851972E-02  -0.550365E+02
   135   0.510194E+04   0.141409E+01   0.865539E-02  -0.555012E+02
   136   0.514713E+04   0.141682E+01   0.879244E-02  -0.559407E+02
   137   0.519229E+04   0.141897E+01   0.893086E-02  -0.563571E+02
   138   0.523734E+04   0.142046E+01   0.907068E-02  -0.567488E+02
   139   0.528212E+04   0.142145E+01   0.921190E-02  -0.571149E+02
   140   0.532693E+04   0.142171E+01   0.935454E-02  -0.574560E+02
   141   0.537148E+04   0.142133E+01   0.949860E-02  -0.577699E+02
   142   0.541598E+04   0.142036E+01   0.964411E-02  -0.580572E+02
   143   0.546036E+04   0.141882E+01   0.979107E-02  -0.583176E+02
   144   0.550448E+04   0.141664E+01   0.993949E-02  -0.585505E+02
   145   0.554839E+04   0.141395E+01   0.100894E-01  -0.587549E+02
   146   0.559233E+04   0.141054E+01   0.102408E-01  -0.589308E+02
   147   0.563584E+04   0.140663E+01   0.103937E-01  -0.590764E+02
   148   0.567916E+04   0.140207E+01   0.105480E-01  -0.591933E+02
   149   0.572234E+04   0.139695E+01   0.107040E-01  -0.592799E+02
   150   0.576517E+04   0.139133E+01   0.108614E-01  -0.593336E+02
   151   0.580779E+04   0.138513E+01   0.110204E-01  -0.593576E+02
   152   0.585006E+04   0.137830E+01   0.111809E-01  -0.593501E+02
   153   0.589211E+04   0.137099E+01   0.113429E-01  -0.593090E+02
   154   0.593387E+04   0.136319E+01   0.115066E-01  -0.592364E+02
   155   0.597534E+04   0.135493E+01   0.116718E-01  -0.591315E+02
   156   0.601636E+04   0.134619E+01   0.118385E-01  -0.589943E+02
   157   0.605722E+04   0.133699E+01   0.120069E-01  -0.588232E+02
   158   0.609770E+04   0.132740E+01   0.121768E-01  -0.586190E+02
   159   0.613780E+04   0.131729E+01   0.123483E-01  -0.583815E+02
   160   0.617759E+04   0.130681E+01   0.125215E-01  -0.581093E+02
   161   0.621706E+04   0.129603E+01   0.126962E-01  -0.578037E+02
   162   0.625613E+04   0.128482E+01   0.128725E-01  -0.574648E+02
   163   0.629495E+04   0.127325E+01   0.130504E-01  -0.570910E+02
   164   0.633322E+04   0.126140E+01   0.132299E-01  -0.566838E+02
   165   0.637123E+04   0.124920E+01   0.134110E-01  -0.562408E+02
   166   0.640884E+04   0.123682E+01   0.135937E-01  -0.557635E+02
   167   0.644610E+04   0.122402E+01   0.137780E-01  -0.552526E+02
   168   0.648280E+04   0.121119E+01   0.139639E-01  -0.547059E+02
   169   0.651907E+04   0.119804E+01   0.141514E-01  -0.541232E+02
   170   0.655492E+04   0.118479E+01   0.143405E-01  -0.535060E+02
   171   0.659020E+04   0.117145E+01   0.145311E-01  -0.528521E+02
   172   0.662496E+04   0.115794E+01   0.147234E-01  -0.521628E+02
   173   0.665915E+04   0.114429E+01   0.149172E-01  -0.514382E+02
   174   0.669289E+04   0.113078E+01   0.151126E-01  -0.506781E+02
   175   0.672612E+04   0.111712E+01   0.153095E-01  -0.498819E+02
   176   0.675867E+04   0.110355E+01   0.155080E-01  -0.490494E+02
   177   0.679071E+04   0.109001E+01   0.157080E-01  -0.481821E+02
   178   0.682214E+04   0.107671E+01   0.159096E-01  -0.472788E+02
   179   0.685298E+04   0.106338E+01   0.161127E-01  -0.463393E+02
   180   0.688336E+04   0.105026E+01   0.163173E-01  -0.453653E+02
   181   0.691306E+04   0.103734E+01   0.165234E-01  -0.443568E+02
   182   0.694215E+04   0.102472E+01   0.167310E-01  -0.433124E+02
   183   0.697057E+04   0.101234E+01   0.169400E-01  -0.422336E+02
   184   0.699845E+04   0.100027E+01   0.171506E-01  -0.411197E+02
   185   0.702571E+04   0.988680E+00   0.173626E-01  -0.399731E+02
   186   0.705199E+04   0.977437E+00   0.175760E-01  -0.387907E+02
   187   0.707796E+04   0.966693E+00   0.177909E-01  -0.375742E+02
   188   0.710323E+04   0.956444E+00   0.180072E-01  -0.363251E+02
   189   0.712774E+04   0.946736E+00   0.182249E-01  -0.350419E+02
   190   0.715192E+04   0.937634E+00   0.184439E-01  -0.337270E+02
   191   0.717503E+04   0.929170E+00   0.186644E-01  -0.323773E+02
   192   0.719760E+04   0.921376E+00   0.188862E-01  -0.309953E+02
   193   0.721939E+04   0.914308E+00   0.191093E-01  -0.295825E+02
   194   0.724063E+04   0.908006E+00   0.193338E-01  -0.281366E+02
   195   0.726109E+04   0.902517E+00   0.195596E-01  -0.266599E+02
   196   0.728077E+04   0.897890E+00   0.197867E-01  -0.251518E+02
   197   0.729981E+04   0.894180E+00   0.200151E-01  -0.236139E+02
   198   0.731815E+04   0.891419E+00   0.202447E-01  -0.220453E+02
   199   0.733578E+04   0.889654E+00   0.204756E-01  -0.204470E+02
   200   0.735269E+04   0.888927E+00   0.207077E-01  -0.188197E+02
   201   0.736882E+04   0.889307E+00   0.209410E-01  -0.171627E+02
   202   0.738423E+04   0.890810E+00   0.211755E-01  -0.154777E+02
   203   0.739885E+04   0.893507E+00   0.214112E-01  -0.137643E+02
   204   0.741261E+04   0.897429E+00   0.216480E-01  -0.120255E+02
   205   0.742566E+04   0.902631E+00   0.218860E-01  -0.102594E+02
   206   0.743784E+04   0.909160E+00   0.221251E-01  -0.846751E+01
   207   0.744931E+04   0.917047E+00   0.223653E-01  -0.665039E+01
   208   0.745984E+04   0.926355E+00   0.226066E-01  -0.480882E+01
   209   0.746958E+04   0.937115E+00   0.228490E-01  -0.294339E+01
   210   0.747854E+04   0.949388E+00   0.230924E-01  -0.105519E+01
   211   0.748670E+04   0.963215E+00   0.233368E-01   0.855487E+00
   212   0.749393E+04   0.978635E+00   0.235822E-01   0.278750E+01
   213   0.750044E+04   0.995701E+00   0.238286E-01   0.474068E+01
   214   0.750609E+04   0.101442E+01   0.240759E-01   0.671360E+01
   215   0.751095E+04   0.103498E+01   0.243242E-01   0.870531E+01
   216   0.751495E+04   0.105723E+01   0.245734E-01   0.107161E+02
   217   0.751823E+04   0.108131E+01   0.248235E-01   0.127438E+02
   218   0.752065E+04   0.110724E+01   0.250744E-01   0.147884E+02
   219   0.752228E+04   0.113504E+01   0.253262E-01   0.168506E+02
   220   0.752312E+04   0.116485E+01   0.255788E-01   0.189258E+02
   221   0.752317E+04   0.119662E+01   0.258321E-01   0.210160E+02
   222   0.752244E+04   0.123050E+01   0.260862E-01   0.231194E+02
   223   0.752076E+04   0.126642E+01   0.263411E-01   0.252367E+02
   224   0.751845E+04   0.130440E+01   0.265966E-01   0.273639E+02
   225   0.751527E+04   0.134460E+01   0.268528E-01   0.295037E+02
   226   0.751130E+04   0.138701E+01   0.271097E-01   0.316523E+02
   227   0.750647E+04   0.143167E+01   0.273672E-01   0.338108E+02
   228   0.750092E+04   0.147856E+01   0.276252E-01   0.359777E+02
   229   0.749459E+04   0.152778E+01   0.278838E-01   0.381512E+02
   230   0.748739E+04   0.157933E+01   0.281430E-01   0.403318E+02
   231   0.747933E+04   0.163331E+01   0.284026E-01   0.425186E+02
   232   0.747055E+04   0.168963E+01   0.286626E-01   0.447099E+02
   233   0.746098E+04   0.174855E+01   0.289231E-01   0.469040E+02
   234   0.745048E+04   0.180991E+01   0.291840E-01   0.491014E+02
   235   0.743926E+04   0.187380E+01   0.294453E-01   0.513005E+02
   236   0.742718E+04   0.194023E+01   0.297068E-01   0.535010E+02
   237   0.741431E+04   0.200929E+01   0.299687E-01   0.557013E+02
   238   0.740065E+04   0.208105E+01   0.302308E-01   0.579010E+02
   239   0.738627E+04   0.215538E+01   0.304931E-01   0.600994E+02
   240   0.737096E+04   0.223236E+01   0.307556E-01   0.622939E+02
   241   0.735501E+04   0.231215E+01   0.310182E-01   0.644851E+02
   242   0.733827E+04   0.239461E+01   0.312810E-01   0.666720E+02
   243   0.732073E+04   0.247990E+01   0.315438E-01   0.688530E+02
   244   0.730241E+04   0.256795E+01   0.318067E-01   0.710285E+02
   245   0.728330E+04   0.265884E+01   0.320696E-01   0.731954E+02
   246   0.726348E+04   0.275259E+01   0.323324E-01   0.753550E+02
   247   0.724294E+04   0.284914E+01   0.325952E-01   0.775049E+02
   248   0.722161E+04   0.294885E+01   0.328579E-01   0.796448E+02
   249   0.719964E+04   0.305122E+01   0.331204E-01   0.817737E+02
   250   0.717688E+04   0.315671E+01   0.333828E-01   0.838901E+02
   251   0.715348E+04   0.326502E+01   0.336449E-01   0.859945E+02
   252   0.712922E+04   0.337638E+01   0.339069E-01   0.880851E+02
   253   0.710448E+04   0.349055E+01   0.341685E-01   0.901602E+02
   254   0.707896E+04   0.360782E+01   0.344298E-01   0.922198E+02
   255   0.705274E+04   0.372789E+01   0.346908E-01   0.942636E+02
   256   0.702589E+04   0.385112E+01   0.349514E-01   0.962915E+02
   257   0.699843E+04   0.397707E+01   0.352116E-01   0.982950E+02
   258   0.697027E+04   0.410609E+01   0.354714E-01   0.100287E+03
   259   0.694150E+04   0.423803E+01   0.357307E-01   0.102251E+03
   260   0.691220E+04   0.437289E+01   0.359895E-01   0.104204E+03
   261   0.688222E+04   0.451057E+01   0.362478E-01   0.106121E+03
   262   0.685157E+04   0.465131E+01   0.365055E-01   0.108026E+03
   263   0.682061E+04   0.479486E+01   0.367626E-01   0.109911E+03
   264   0.678891E+04   0.494129E+01   0.370191E-01   0.111768E+03
   265   0.675654E+04   0.509053E+01   0.372750E-01   0.113589E+03
   266   0.672374E+04   0.524279E+01   0.375302E-01   0.115397E+03
   267   0.669028E+04   0.539769E+01   0.377847E-01   0.117169E+03
   268   0.665631E+04   0.555560E+01   0.380385E-01   0.118920E+03
   269   0.662168E+04   0.571621E+01   0.382916E-01   0.120643E+03
   270   0.658671E+04   0.587959E+01   0.385439E-01   0.122336E+03
   271   0.655117E+04   0.604565E+01   0.387954E-01   0.124000E+03
   272   0.651529E+04   0.621470E+01   0.390461E-01   0.125627E+03
   273   0.647884E+04   0.638612E+01   0.392959E-01   0.127232E+03
   274   0.644198E+04   0.656050E+01   0.395449E-01   0.128793E+03
   275   0.640463E+04   0.673733E+01   0.397931E-01   0.130331E+03
   276   0.636696E+04   0.691680E+01   0.400403E-01   0.131824E+03
   277   0.632874E+04   0.709893E+01   0.402867E-01   0.133294E+03
   278   0.629019E+04   0.728362E+01   0.405321E-01   0.134719E+03
   279   0.625126E+04   0.747080E+01   0.407766E-01   0.136106E+03
   280   0.621193E+04   0.766045E+01   0.410201E-01   0.137470E+03
   281   0.617236E+04   0.785265E+01   0.412626E-01   0.138787E+03
