#    L    TT             EE             BB             TE          
    90   0.331584E+02   0.234434E-01   0.162170E-01  -0.683295E+00
    91   0.321953E+02   0.235718E-01   0.161969E-01  -0.677351E+00
    92   0.312463E+02   0.236907E-01   0.161694E-01  -0.671041E+00
    93   0.303116E+02   0.237999E-01   0.161347E-01  -0.664379E+00
    94   0.293913E+02   0.238995E-01   0.160929E-01  -0.657378E+00
    95   0.284856E+02   0.239897E-01   0.160441E-01  -0.650053E+00
    96   0.275946E+02   0.240704E-01   0.159886E-01  -0.642415E+00
    97   0.267185E+02   0.241417E-01   0.159264E-01  -0.634480E+00
    98   0.258574E+02   0.242036E-01   0.158578E-01  -0.626260E+00
    99   0.250115E+02   0.242562E-01   0.157828E-01  -0.617769E+00
   100   0.241810E+02   0.242995E-01   0.157016E-01  -0.609020E+00
   101   0.233659E+02   0.243335E-01   0.156145E-01  -0.600027E+00
   102   0.225664E+02   0.243584E-01   0.155215E-01  -0.590803E+00
   103   0.217828E+02   0.243741E-01   0.154227E-01  -0.581361E+00
   104   0.210150E+02   0.243808E-01   0.153185E-01  -0.571716E+00
   105   0.202634E+02   0.243783E-01   0.152088E-01  -0.561880E+00
   106   0.195280E+02   0.243669E-01   0.150939E-01  -0.551867E+00
   107   0.188090E+02   0.243465E-01   0.149739E-01  -0.541690E+00
   108   0.181066E+02   0.243171E-01   0.148490E-01  -0.531363E+00
   109   0.174208E+02   0.242789E-01   0.147193E-01  -0.520900E+00
   110   0.167519E+02   0.242319E-01   0.145849E-01  -0.510314E+00
   111   0.161000E+02   0.241761E-01   0.144462E-01  -0.499617E+00
   112   0.154649E+02   0.241116E-01   0.143031E-01  -0.488821E+00
   113   0.148465E+02   0.240385E-01   0.141560E-01  -0.477936E+00
   114   0.142446E+02   0.239571E-01   0.140050E-01  -0.466972E+00
   115   0.136592E+02   0.238673E-01   0.138503E-01  -0.455940E+00
   116   0.130900E+02   0.237693E-01   0.136922E-01  -0.444851E+00
   117   0.125369E+02   0.236633E-01   0.135308E-01  -0.433714E+00
   118   0.119998E+02   0.235493E-01   0.133664E-01  -0.422540E+00
   119   0.114785E+02   0.234275E-01   0.131991E-01  -0.411339E+00
   120   0.109729E+02   0.232980E-01   0.130291E-01  -0.400123E+00
   121   0.104828E+02   0.231609E-01   0.128566E-01  -0.388900E+00
   122   0.100080E+02   0.230163E-01   0.126819E-01  -0.377682E+00
   123   0.954848E+01   0.228644E-01   0.125051E-01  -0.366479E+00
   124   0.910401E+01   0.227052E-01   0.123265E-01  -0.355301E+00
   125   0.867446E+01   0.225390E-01   0.121462E-01  -0.344159E+00
   126   0.825969E+01   0.223657E-01   0.119644E-01  -0.333063E+00
   127   0.785954E+01   0.221856E-01   0.117814E-01  -0.322024E+00
   128   0.747386E+01   0.219987E-01   0.115973E-01  -0.311051E+00
   129   0.710252E+01   0.218053E-01   0.114124E-01  -0.300156E+00
   130   0.674535E+01   0.216052E-01   0.112268E-01  -0.289349E+00
   131   0.640219E+01   0.213989E-01   0.110407E-01  -0.278638E+00
   132   0.607278E+01   0.211864E-01   0.108543E-01  -0.268032E+00
   133   0.575685E+01   0.209681E-01   0.106678E-01  -0.257536E+00
   134   0.545413E+01   0.207441E-01   0.104812E-01  -0.247156E+00
   135   0.516434E+01   0.205149E-01   0.102947E-01  -0.236898E+00
   136   0.488720E+01   0.202806E-01   0.101085E-01  -0.226769E+00
   137   0.462244E+01   0.200416E-01   0.992274E-02  -0.216773E+00
   138   0.436979E+01   0.197981E-01   0.973750E-02  -0.206917E+00
   139   0.412897E+01   0.195503E-01   0.955296E-02  -0.197208E+00
   140   0.389970E+01   0.192985E-01   0.936925E-02  -0.187651E+00
   141   0.368171E+01   0.190431E-01   0.918653E-02  -0.178251E+00
   142   0.347473E+01   0.187843E-01   0.900495E-02  -0.169016E+00
   143   0.327848E+01   0.185223E-01   0.882463E-02  -0.159951E+00
   144   0.309268E+01   0.182574E-01   0.864574E-02  -0.151062E+00
   145   0.291706E+01   0.179899E-01   0.846841E-02  -0.142355E+00
   146   0.275135E+01   0.177200E-01   0.829279E-02  -0.133837E+00
   147   0.259527E+01   0.174481E-01   0.811902E-02  -0.125512E+00
   148   0.244854E+01   0.171744E-01   0.794725E-02  -0.117387E+00
   149   0.231090E+01   0.168992E-01   0.777762E-02  -0.109469E+00
   150   0.218206E+01   0.166227E-01   0.761028E-02  -0.101763E+00
   151   0.206175E+01   0.163451E-01   0.744535E-02  -0.942736E-01
   152   0.194972E+01   0.160668E-01   0.728290E-02  -0.870018E-01
   153   0.184573E+01   0.157878E-01   0.712298E-02  -0.799468E-01
   154   0.174951E+01   0.155084E-01   0.696563E-02  -0.731077E-01
   155   0.166082E+01   0.152288E-01   0.681090E-02  -0.664840E-01
   156   0.157941E+01   0.149491E-01   0.665883E-02  -0.600749E-01
