#    L    TT             EE             BB             TE          
    91   0.321326E+04   0.829046E+00   0.163749E-01  -0.231436E+02
    92   0.325161E+04   0.848837E+00   0.164397E-01  -0.239592E+02
    93   0.329032E+04   0.868591E+00   0.164998E-01  -0.247809E+02
    94   0.332916E+04   0.888265E+00   0.165555E-01  -0.256071E+02
    95   0.336837E+04   0.907856E+00   0.166068E-01  -0.264384E+02
    96   0.340763E+04   0.927345E+00   0.166539E-01  -0.272739E+02
    97   0.344741E+04   0.946712E+00   0.166969E-01  -0.281127E+02
    98   0.348747E+04   0.965947E+00   0.167360E-01  -0.289526E+02
    99   0.352767E+04   0.985009E+00   0.167712E-01  -0.297963E+02
   100   0.356824E+04   0.100389E+01   0.168026E-01  -0.306391E+02
   101   0.360901E+04   0.102265E+01   0.168305E-01  -0.314841E+02
   102   0.365037E+04   0.104114E+01   0.168549E-01  -0.323288E+02
   103   0.369172E+04   0.105942E+01   0.168760E-01  -0.331738E+02
   104   0.373336E+04   0.107750E+01   0.168938E-01  -0.340161E+02
   105   0.377522E+04   0.109528E+01   0.169086E-01  -0.348569E+02
   106   0.381736E+04   0.111286E+01   0.169204E-01  -0.356954E+02
   107   0.385950E+04   0.113006E+01   0.169293E-01  -0.365300E+02
   108   0.390208E+04   0.114696E+01   0.169356E-01  -0.373612E+02
   109   0.394487E+04   0.116348E+01   0.169392E-01  -0.381876E+02
   110   0.398781E+04   0.117963E+01   0.169404E-01  -0.390074E+02
   111   0.403096E+04   0.119546E+01   0.169393E-01  -0.398221E+02
   112   0.407433E+04   0.121091E+01   0.169359E-01  -0.406306E+02
   113   0.411798E+04   0.122596E+01   0.169306E-01  -0.414313E+02
   114   0.416176E+04   0.124055E+01   0.169234E-01  -0.422233E+02
   115   0.420581E+04   0.125482E+01   0.169146E-01  -0.430063E+02
   116   0.424991E+04   0.126854E+01   0.169042E-01  -0.437795E+02
   117   0.429435E+04   0.128178E+01   0.168924E-01  -0.445419E+02
   118   0.433898E+04   0.129469E+01   0.168795E-01  -0.452941E+02
   119   0.438364E+04   0.130712E+01   0.168655E-01  -0.460336E+02
   120   0.442848E+04   0.131892E+01   0.168506E-01  -0.467602E+02
   121   0.447334E+04   0.133038E+01   0.168351E-01  -0.474738E+02
   122   0.451830E+04   0.134120E+01   0.168190E-01  -0.481734E+02
   123   0.456336E+04   0.135146E+01   0.168025E-01  -0.488588E+02
   124   0.460849E+04   0.136122E+01   0.167858E-01  -0.495270E+02
   125   0.465364E+04   0.137040E+01   0.167690E-01  -0.501798E+02
   126   0.469886E+04   0.137909E+01   0.167524E-01  -0.508164E+02
   127   0.474408E+04   0.138713E+01   0.167360E-01  -0.514358E+02
   128   0.478930E+04   0.139466E+01   0.167201E-01  -0.520371E+02
   129   0.483458E+04   0.140153E+01   0.167048E-01  -0.526194E+02
   130   0.487984E+04   0.140774E+01   0.166903E-01  -0.531817E+02
   131   0.492509E+04   0.141344E+01   0.166767E-01  -0.537254E+02
   132   0.497039E+04   0.141847E+01   0.166642E-01  -0.542474E+02
   133   0.501560E+04   0.142292E+01   0.166529E-01  -0.547497E+02
   134   0.506078E+04   0.142678E+01   0.166429E-01  -0.552278E+02
   135   0.510594E+04   0.142999E+01   0.166343E-01  -0.556846E+02
   136   0.515092E+04   0.143253E+01   0.166274E-01  -0.561163E+02
   137   0.519587E+04   0.143449E+01   0.166220E-01  -0.565249E+02
   138   0.524072E+04   0.143580E+01   0.166185E-01  -0.569090E+02
   139   0.528532E+04   0.143660E+01   0.166170E-01  -0.572676E+02
   140   0.532995E+04   0.143667E+01   0.166175E-01  -0.576013E+02
   141   0.537433E+04   0.143608E+01   0.166202E-01  -0.579079E+02
   142   0.541867E+04   0.143492E+01   0.166252E-01  -0.581880E+02
   143   0.546290E+04   0.143317E+01   0.166326E-01  -0.584415E+02
   144   0.550687E+04   0.143078E+01   0.166426E-01  -0.586675E+02
   145   0.555065E+04   0.142789E+01   0.166553E-01  -0.588652E+02
   146   0.559446E+04   0.142427E+01   0.166707E-01  -0.590344E+02
   147   0.563785E+04   0.142015E+01   0.166891E-01  -0.591736E+02
   148   0.568105E+04   0.141538E+01   0.167106E-01  -0.592843E+02
   149   0.572413E+04   0.141004E+01   0.167352E-01  -0.593646E+02
   150   0.576686E+04   0.140421E+01   0.167631E-01  -0.594125E+02
   151   0.580939E+04   0.139780E+01   0.167944E-01  -0.594306E+02
   152   0.585157E+04   0.139076E+01   0.168292E-01  -0.594175E+02
   153   0.589354E+04   0.138323E+01   0.168674E-01  -0.593709E+02
   154   0.593523E+04   0.137521E+01   0.169093E-01  -0.592930E+02
   155   0.597663E+04   0.136673E+01   0.169547E-01  -0.591830E+02
   156   0.601758E+04   0.135778E+01   0.170037E-01  -0.590408E+02
   157   0.605839E+04   0.134836E+01   0.170564E-01  -0.588650E+02
   158   0.609882E+04   0.133856E+01   0.171129E-01  -0.586561E+02
   159   0.613887E+04   0.132823E+01   0.171731E-01  -0.584141E+02
   160   0.617861E+04   0.131753E+01   0.172371E-01  -0.581376E+02
   161   0.621804E+04   0.130654E+01   0.173049E-01  -0.578279E+02
   162   0.625708E+04   0.129511E+01   0.173766E-01  -0.574850E+02
   163   0.629588E+04   0.128333E+01   0.174523E-01  -0.571074E+02
   164   0.633412E+04   0.127127E+01   0.175318E-01  -0.566965E+02
   165   0.637211E+04   0.125886E+01   0.176154E-01  -0.562500E+02
   166   0.640970E+04   0.124627E+01   0.177030E-01  -0.557694E+02
   167   0.644695E+04   0.123326E+01   0.177947E-01  -0.552554E+02
