#    L    TT             EE             BB             TE          
    90   0.256217E+02   0.181360E-01   0.125515E-01  -0.528132E+00
    91   0.248789E+02   0.182359E-01   0.125363E-01  -0.523562E+00
    92   0.241469E+02   0.183284E-01   0.125155E-01  -0.518708E+00
    93   0.234258E+02   0.184134E-01   0.124890E-01  -0.513581E+00
    94   0.227157E+02   0.184911E-01   0.124570E-01  -0.508192E+00
    95   0.220169E+02   0.185614E-01   0.124197E-01  -0.502550E+00
    96   0.213293E+02   0.186244E-01   0.123770E-01  -0.496667E+00
    97   0.206531E+02   0.186801E-01   0.123293E-01  -0.490552E+00
    98   0.199885E+02   0.187285E-01   0.122765E-01  -0.484217E+00
    99   0.193355E+02   0.187698E-01   0.122188E-01  -0.477671E+00
   100   0.186943E+02   0.188038E-01   0.121563E-01  -0.470925E+00
   101   0.180649E+02   0.188308E-01   0.120892E-01  -0.463989E+00
   102   0.174476E+02   0.188506E-01   0.120176E-01  -0.456873E+00
   103   0.168425E+02   0.188633E-01   0.119415E-01  -0.449589E+00
   104   0.162496E+02   0.188690E-01   0.118611E-01  -0.442147E+00
   105   0.156690E+02   0.188677E-01   0.117765E-01  -0.434556E+00
   106   0.151010E+02   0.188594E-01   0.116879E-01  -0.426828E+00
   107   0.145456E+02   0.188442E-01   0.115953E-01  -0.418973E+00
   108   0.140030E+02   0.188220E-01   0.114989E-01  -0.411001E+00
   109   0.134732E+02   0.187930E-01   0.113988E-01  -0.402922E+00
   110   0.129564E+02   0.187571E-01   0.112951E-01  -0.394747E+00
   111   0.124526E+02   0.187145E-01   0.111879E-01  -0.386487E+00
   112   0.119619E+02   0.186651E-01   0.110774E-01  -0.378149E+00
   113   0.114841E+02   0.186091E-01   0.109638E-01  -0.369741E+00
   114   0.110190E+02   0.185466E-01   0.108472E-01  -0.361272E+00
   115   0.105665E+02   0.184777E-01   0.107277E-01  -0.352750E+00
   116   0.101267E+02   0.184024E-01   0.106056E-01  -0.344182E+00
   117   0.969919E+01   0.183208E-01   0.104809E-01  -0.335577E+00
   118   0.928404E+01   0.182331E-01   0.103538E-01  -0.326942E+00
   119   0.888110E+01   0.181393E-01   0.102245E-01  -0.318287E+00
   120   0.849024E+01   0.180396E-01   0.100932E-01  -0.309618E+00
   121   0.811136E+01   0.179340E-01   0.995990E-02  -0.300944E+00
   122   0.774433E+01   0.178225E-01   0.982487E-02  -0.292273E+00
   123   0.738905E+01   0.177054E-01   0.968823E-02  -0.283613E+00
   124   0.704541E+01   0.175827E-01   0.955014E-02  -0.274972E+00
   125   0.671328E+01   0.174545E-01   0.941076E-02  -0.266358E+00
   126   0.639256E+01   0.173208E-01   0.927023E-02  -0.257779E+00
   127   0.608313E+01   0.171818E-01   0.912873E-02  -0.249243E+00
   128   0.578488E+01   0.170376E-01   0.898639E-02  -0.240758E+00
   129   0.549770E+01   0.168882E-01   0.884338E-02  -0.232333E+00
   130   0.522146E+01   0.167338E-01   0.869985E-02  -0.223974E+00
   131   0.495605E+01   0.165744E-01   0.855595E-02  -0.215691E+00
   132   0.470127E+01   0.164103E-01   0.841180E-02  -0.207487E+00
   133   0.445690E+01   0.162417E-01   0.826751E-02  -0.199368E+00
   134   0.422273E+01   0.160687E-01   0.812319E-02  -0.191338E+00
   135   0.399855E+01   0.158916E-01   0.797895E-02  -0.183403E+00
   136   0.378416E+01   0.157106E-01   0.783491E-02  -0.175565E+00
   137   0.357933E+01   0.155258E-01   0.769118E-02  -0.167832E+00
   138   0.338385E+01   0.153376E-01   0.754787E-02  -0.160206E+00
   139   0.319752E+01   0.151461E-01   0.740509E-02  -0.152692E+00
   140   0.302012E+01   0.149515E-01   0.726296E-02  -0.145296E+00
   141   0.285144E+01   0.147541E-01   0.712158E-02  -0.138022E+00
   142   0.269127E+01   0.145539E-01   0.698107E-02  -0.130875E+00
   143   0.253940E+01   0.143514E-01   0.684154E-02  -0.123859E+00
   144   0.239561E+01   0.141465E-01   0.670311E-02  -0.116979E+00
   145   0.225969E+01   0.139397E-01   0.656588E-02  -0.110239E+00
   146   0.213144E+01   0.137310E-01   0.642996E-02  -0.103645E+00
   147   0.201063E+01   0.135207E-01   0.629548E-02  -0.972006E-01
   148   0.189706E+01   0.133090E-01   0.616253E-02  -0.909110E-01
   149   0.179052E+01   0.130961E-01   0.603124E-02  -0.847807E-01
   150   0.169079E+01   0.128822E-01   0.590171E-02  -0.788143E-01
   151   0.159767E+01   0.126675E-01   0.577405E-02  -0.730157E-01
   152   0.151095E+01   0.124522E-01   0.564830E-02  -0.673852E-01
   153   0.143045E+01   0.122364E-01   0.552450E-02  -0.619223E-01
   154   0.135597E+01   0.120202E-01   0.540269E-02  -0.566264E-01
   155   0.128732E+01   0.118039E-01   0.528291E-02  -0.514971E-01
   156   0.122430E+01   0.115874E-01   0.516518E-02  -0.465337E-01
   157   0.116673E+01   0.113711E-01   0.504955E-02  -0.417358E-01
   158   0.111439E+01   0.111550E-01   0.493605E-02  -0.371028E-01
   159   0.106711E+01   0.109392E-01   0.482473E-02  -0.326342E-01
   160   0.102469E+01   0.107240E-01   0.471561E-02  -0.283294E-01
   161   0.986939E+00   0.105094E-01   0.460874E-02  -0.241880E-01
   162   0.953655E+00   0.102956E-01   0.450414E-02  -0.202094E-01
   163   0.924649E+00   0.100828E-01   0.440187E-02  -0.163931E-01
   164   0.899727E+00   0.987108E-02   0.430195E-02  -0.127385E-01
   165   0.878695E+00   0.966059E-02   0.420441E-02  -0.924507E-02
   166   0.861360E+00   0.945148E-02   0.410931E-02  -0.591236E-02
   167   0.847527E+00   0.924389E-02   0.401667E-02  -0.273979E-02
   168   0.837004E+00   0.903797E-02   0.392653E-02   0.273158E-03
   169   0.829596E+00   0.883386E-02   0.383893E-02   0.312702E-02
   170   0.825110E+00   0.863171E-02   0.375390E-02   0.582232E-02
   171   0.823352E+00   0.843165E-02   0.367148E-02   0.835960E-02
   172   0.824128E+00   0.823385E-02   0.359171E-02   0.107394E-01
   173   0.827245E+00   0.803843E-02   0.351462E-02   0.129622E-01
   174   0.832509E+00   0.784555E-02   0.344026E-02   0.150286E-01
   175   0.839725E+00   0.765534E-02   0.336865E-02   0.169391E-01
   176   0.848715E+00   0.746794E-02   0.329982E-02   0.186948E-01
   177   0.859351E+00   0.728345E-02   0.323374E-02   0.202996E-01
