#    L    TT             EE             TE             PP             TP          
    75   0.259623E+04   0.501192E+00  -0.106734E+02   0.687046E+07   0.121245E+05
    76   0.263020E+04   0.519110E+00  -0.113287E+02   0.683038E+07   0.119449E+05
    77   0.266459E+04   0.537234E+00  -0.119981E+02   0.679021E+07   0.117700E+05
    78   0.269943E+04   0.555593E+00  -0.126829E+02   0.674996E+07   0.115984E+05
    79   0.273452E+04   0.574139E+00  -0.133795E+02   0.670966E+07   0.114287E+05
    80   0.276994E+04   0.592880E+00  -0.140893E+02   0.666934E+07   0.112596E+05
    81   0.280557E+04   0.611770E+00  -0.148127E+02   0.662903E+07   0.110900E+05
    82   0.284151E+04   0.630822E+00  -0.155485E+02   0.658874E+07   0.109209E+05
    83   0.287771E+04   0.650001E+00  -0.162959E+02   0.654850E+07   0.107536E+05
    84   0.291425E+04   0.669295E+00  -0.170524E+02   0.650832E+07   0.105892E+05
    85   0.295102E+04   0.688670E+00  -0.178188E+02   0.646822E+07   0.104292E+05
    86   0.298810E+04   0.708129E+00  -0.185936E+02   0.642822E+07   0.102744E+05
    87   0.302572E+04   0.727638E+00  -0.193761E+02   0.638833E+07   0.101249E+05
    88   0.306342E+04   0.747212E+00  -0.201664E+02   0.634856E+07   0.998000E+04
    89   0.310156E+04   0.766833E+00  -0.209660E+02   0.630892E+07   0.983943E+04
    90   0.313999E+04   0.786464E+00  -0.217723E+02   0.626942E+07   0.970268E+04
    91   0.317862E+04   0.806093E+00  -0.225860E+02   0.623007E+07   0.956937E+04
    92   0.321759E+04   0.825704E+00  -0.234063E+02   0.619087E+07   0.943936E+04
    93   0.325692E+04   0.845284E+00  -0.242330E+02   0.615183E+07   0.931252E+04
    94   0.329637E+04   0.864792E+00  -0.250645E+02   0.611296E+07   0.918877E+04
    95   0.333617E+04   0.884225E+00  -0.259015E+02   0.607425E+07   0.906800E+04
    96   0.337602E+04   0.903562E+00  -0.267430E+02   0.603572E+07   0.895011E+04
    97   0.341637E+04   0.922786E+00  -0.275881E+02   0.599737E+07   0.883500E+04
    98   0.345700E+04   0.941885E+00  -0.284345E+02   0.595919E+07   0.872256E+04
    99   0.349776E+04   0.960817E+00  -0.292850E+02   0.592121E+07   0.861270E+04
   100   0.353887E+04   0.979579E+00  -0.301351E+02   0.588341E+07   0.850531E+04
   101   0.358018E+04   0.998225E+00  -0.309875E+02   0.584581E+07   0.840029E+04
   102   0.362207E+04   0.101660E+01  -0.318398E+02   0.580841E+07   0.829754E+04
   103   0.366393E+04   0.103479E+01  -0.326928E+02   0.577122E+07   0.819696E+04
   104   0.370608E+04   0.105276E+01  -0.335432E+02   0.573423E+07   0.809844E+04
   105   0.374843E+04   0.107046E+01  -0.343924E+02   0.569746E+07   0.800189E+04
   106   0.379106E+04   0.108795E+01  -0.352396E+02   0.566090E+07   0.790719E+04
   107   0.383367E+04   0.110508E+01  -0.360831E+02   0.562457E+07   0.781426E+04
   108   0.387671E+04   0.112192E+01  -0.369234E+02   0.558847E+07   0.772299E+04
   109   0.391996E+04   0.113838E+01  -0.377591E+02   0.555259E+07   0.763328E+04
   110   0.396333E+04   0.115447E+01  -0.385884E+02   0.551696E+07   0.754502E+04
   111   0.400692E+04   0.117026E+01  -0.394127E+02   0.548156E+07   0.745812E+04
   112   0.405070E+04   0.118566E+01  -0.402311E+02   0.544641E+07   0.737256E+04
   113   0.409476E+04   0.120068E+01  -0.410419E+02   0.541149E+07   0.728831E+04
   114   0.413894E+04   0.121524E+01  -0.418440E+02   0.537682E+07   0.720535E+04
   115   0.418339E+04   0.122948E+01  -0.426374E+02   0.534239E+07   0.712366E+04
   116   0.422787E+04   0.124318E+01  -0.434211E+02   0.530820E+07   0.704321E+04
   117   0.427268E+04   0.125641E+01  -0.441942E+02   0.527425E+07   0.696398E+04
   118   0.431767E+04   0.126931E+01  -0.449571E+02   0.524055E+07   0.688596E+04
   119   0.436268E+04   0.128174E+01  -0.457076E+02   0.520709E+07   0.680912E+04
   120   0.440786E+04   0.129354E+01  -0.464452E+02   0.517387E+07   0.673343E+04
   121   0.445306E+04   0.130500E+01  -0.471700E+02   0.514090E+07   0.665888E+04
   122   0.449834E+04   0.131583E+01  -0.478808E+02   0.510817E+07   0.658545E+04
   123   0.454371E+04   0.132610E+01  -0.485776E+02   0.507568E+07   0.651311E+04
   124   0.458915E+04   0.133588E+01  -0.492572E+02   0.504344E+07   0.644184E+04
   125   0.463459E+04   0.134509E+01  -0.499215E+02   0.501144E+07   0.637162E+04
   126   0.468010E+04   0.135380E+01  -0.505697E+02   0.497969E+07   0.630243E+04
   127   0.472560E+04   0.136186E+01  -0.512008E+02   0.494819E+07   0.623424E+04
   128   0.477109E+04   0.136942E+01  -0.518138E+02   0.491692E+07   0.616705E+04
   129   0.481664E+04   0.137632E+01  -0.524079E+02   0.488591E+07   0.610081E+04
   130   0.486216E+04   0.138257E+01  -0.529820E+02   0.485514E+07   0.603551E+04
   131   0.490766E+04   0.138830E+01  -0.535375E+02   0.482462E+07   0.597114E+04
   132   0.495320E+04   0.139337E+01  -0.540713E+02   0.479434E+07   0.590768E+04
   133   0.499865E+04   0.139786E+01  -0.545855E+02   0.476430E+07   0.584512E+04
   134   0.504406E+04   0.140177E+01  -0.550755E+02   0.473451E+07   0.578346E+04
   135   0.508944E+04   0.140501E+01  -0.555441E+02   0.470496E+07   0.572270E+04
   136   0.513463E+04   0.140760E+01  -0.559877E+02   0.467564E+07   0.566281E+04
   137   0.517980E+04   0.140960E+01  -0.564082E+02   0.464657E+07   0.560380E+04
   138   0.522485E+04   0.141095E+01  -0.568040E+02   0.461773E+07   0.554566E+04
   139   0.526965E+04   0.141178E+01  -0.571744E+02   0.458912E+07   0.548838E+04
   140   0.531448E+04   0.141189E+01  -0.575200E+02   0.456075E+07   0.543195E+04
   141   0.535905E+04   0.141134E+01  -0.578383E+02   0.453260E+07   0.537637E+04
   142   0.540357E+04   0.141021E+01  -0.581300E+02   0.450469E+07   0.532163E+04
   143   0.544798E+04   0.140850E+01  -0.583951E+02   0.447701E+07   0.526772E+04
   144   0.549213E+04   0.140614E+01  -0.586327E+02   0.444955E+07   0.521464E+04
   145   0.553608E+04   0.140327E+01  -0.588418E+02   0.442232E+07   0.516237E+04
   146   0.558006E+04   0.139967E+01  -0.590225E+02   0.439531E+07   0.511091E+04
   147   0.562361E+04   0.139557E+01  -0.591730E+02   0.436853E+07   0.506025E+04
   148   0.566698E+04   0.139082E+01  -0.592948E+02   0.434196E+07   0.501039E+04
   149   0.571021E+04   0.138548E+01  -0.593863E+02   0.431562E+07   0.496132E+04
   150   0.575310E+04   0.137965E+01  -0.594451E+02   0.428949E+07   0.491303E+04
   151   0.579579E+04   0.137324E+01  -0.594741E+02   0.426358E+07   0.486550E+04
   152   0.583812E+04   0.136618E+01  -0.594717E+02   0.423789E+07   0.481874E+04
   153   0.588024E+04   0.135863E+01  -0.594357E+02   0.421241E+07   0.477271E+04
   154   0.592207E+04   0.135060E+01  -0.593683E+02   0.418714E+07   0.472741E+04
   155   0.596362E+04   0.134208E+01  -0.592685E+02   0.416208E+07   0.468282E+04
   156   0.600472E+04   0.133309E+01  -0.591365E+02   0.413723E+07   0.463892E+04
   157   0.604567E+04   0.132363E+01  -0.589706E+02   0.411259E+07   0.459569E+04
   158   0.608625E+04   0.131377E+01  -0.587716E+02   0.408816E+07   0.455312E+04
   159   0.612644E+04   0.130338E+01  -0.585393E+02   0.406393E+07   0.451119E+04
   160   0.616633E+04   0.129261E+01  -0.582723E+02   0.403990E+07   0.446989E+04
   161   0.620590E+04   0.128153E+01  -0.579719E+02   0.401608E+07   0.442920E+04
   162   0.624508E+04   0.127001E+01  -0.576382E+02   0.399246E+07   0.438910E+04
   163   0.628402E+04   0.125813E+01  -0.572696E+02   0.396904E+07   0.434958E+04
   164   0.632241E+04   0.124596E+01  -0.568674E+02   0.394582E+07   0.431061E+04
   165   0.636054E+04   0.123343E+01  -0.564295E+02   0.392279E+07   0.427219E+04
   166   0.639827E+04   0.122070E+01  -0.559573E+02   0.389996E+07   0.423430E+04
   167   0.643567E+04   0.120755E+01  -0.554514E+02   0.387733E+07   0.419692E+04
   168   0.647250E+04   0.119436E+01  -0.549096E+02   0.385488E+07   0.416003E+04
   169   0.650892E+04   0.118083E+01  -0.543317E+02   0.383263E+07   0.412362E+04
   170   0.654491E+04   0.116720E+01  -0.537194E+02   0.381057E+07   0.408767E+04
   171   0.658033E+04   0.115346E+01  -0.530702E+02   0.378870E+07   0.405216E+04
   172   0.661525E+04   0.113956E+01  -0.523856E+02   0.376702E+07   0.401709E+04
   173   0.664959E+04   0.112549E+01  -0.516655E+02   0.374552E+07   0.398243E+04
   174   0.668349E+04   0.111155E+01  -0.509099E+02   0.372420E+07   0.394816E+04
   175   0.671688E+04   0.109746E+01  -0.501180E+02   0.370307E+07   0.391427E+04
   176   0.674961E+04   0.108344E+01  -0.492898E+02   0.368212E+07   0.388075E+04
   177   0.678181E+04   0.106944E+01  -0.484267E+02   0.366135E+07   0.384758E+04
   178   0.681342E+04   0.105567E+01  -0.475273E+02   0.364076E+07   0.381476E+04
   179   0.684443E+04   0.104187E+01  -0.465918E+02   0.362034E+07   0.378228E+04
   180   0.687500E+04   0.102825E+01  -0.456215E+02   0.360010E+07   0.375013E+04
   181   0.690488E+04   0.101483E+01  -0.446167E+02   0.358004E+07   0.371831E+04
   182   0.693417E+04   0.100170E+01  -0.435757E+02   0.356014E+07   0.368680E+04
   183   0.696277E+04   0.988786E+00  -0.425002E+02   0.354041E+07   0.365561E+04
   184   0.699084E+04   0.976182E+00  -0.413895E+02   0.352085E+07   0.362471E+04
   185   0.701831E+04   0.964044E+00  -0.402458E+02   0.350146E+07   0.359411E+04
   186   0.704479E+04   0.952242E+00  -0.390663E+02   0.348223E+07   0.356379E+04
   187   0.707095E+04   0.940927E+00  -0.378524E+02   0.346317E+07   0.353376E+04
   188   0.709643E+04   0.930095E+00  -0.366057E+02   0.344426E+07   0.350399E+04
   189   0.712115E+04   0.919793E+00  -0.353248E+02   0.342552E+07   0.347448E+04
   190   0.714554E+04   0.910086E+00  -0.340119E+02   0.340693E+07   0.344524E+04
   191   0.716887E+04   0.901005E+00  -0.326641E+02   0.338849E+07   0.341623E+04
   192   0.719164E+04   0.892583E+00  -0.312836E+02   0.337022E+07   0.338747E+04
   193   0.721365E+04   0.884876E+00  -0.298722E+02   0.335209E+07   0.335894E+04
   194   0.723511E+04   0.877924E+00  -0.284274E+02   0.333411E+07   0.333064E+04
   195   0.725579E+04   0.871775E+00  -0.269517E+02   0.331628E+07   0.330255E+04
   196   0.727569E+04   0.866476E+00  -0.254443E+02   0.329860E+07   0.327467E+04
   197   0.729496E+04   0.862084E+00  -0.239067E+02   0.328106E+07   0.324699E+04
   198   0.731352E+04   0.858630E+00  -0.223384E+02   0.326367E+07   0.321951E+04
   199   0.733137E+04   0.856164E+00  -0.207399E+02   0.324642E+07   0.319221E+04
   200   0.734851E+04   0.854724E+00  -0.191123E+02   0.322931E+07   0.316509E+04
   201   0.736487E+04   0.854381E+00  -0.174547E+02   0.321234E+07   0.313814E+04
   202   0.738051E+04   0.855153E+00  -0.157688E+02   0.319550E+07   0.311136E+04
   203   0.739536E+04   0.857109E+00  -0.140542E+02   0.317880E+07   0.308475E+04
   204   0.740935E+04   0.860281E+00  -0.123140E+02   0.316223E+07   0.305832E+04
   205   0.742263E+04   0.864725E+00  -0.105462E+02   0.314580E+07   0.303206E+04
   206   0.743505E+04   0.870487E+00  -0.875219E+01   0.312950E+07   0.300597E+04
   207   0.744675E+04   0.877600E+00  -0.693272E+01   0.311333E+07   0.298006E+04
   208   0.745751E+04   0.886125E+00  -0.508848E+01   0.309729E+07   0.295433E+04
   209   0.746748E+04   0.896095E+00  -0.322007E+01   0.308138E+07   0.292878E+04
   210   0.747667E+04   0.907573E+00  -0.132857E+01   0.306560E+07   0.290340E+04
   211   0.748507E+04   0.920597E+00   0.585733E+00   0.304995E+07   0.287820E+04
   212   0.749253E+04   0.935209E+00   0.252170E+01   0.303442E+07   0.285318E+04
   213   0.749927E+04   0.951461E+00   0.447917E+01   0.301901E+07   0.282834E+04
   214   0.750515E+04   0.969358E+00   0.645672E+01   0.300373E+07   0.280368E+04
   215   0.751024E+04   0.989101E+00   0.845340E+01   0.298857E+07   0.277920E+04
   216   0.751447E+04   0.101052E+01   0.104695E+02   0.297353E+07   0.275491E+04
   217   0.751798E+04   0.103377E+01   0.125029E+02   0.295862E+07   0.273080E+04
   218   0.752063E+04   0.105887E+01   0.145535E+02   0.294382E+07   0.270688E+04
   219   0.752248E+04   0.108583E+01   0.166221E+02   0.292913E+07   0.268314E+04
   220   0.752355E+04   0.111480E+01   0.187040E+02   0.291457E+07   0.265958E+04
   221   0.752383E+04   0.114573E+01   0.208012E+02   0.290012E+07   0.263622E+04
   222   0.752331E+04   0.117877E+01   0.229121E+02   0.288578E+07   0.261304E+04
   223   0.752186E+04   0.121385E+01   0.250372E+02   0.287156E+07   0.259005E+04
   224   0.751976E+04   0.125099E+01   0.271726E+02   0.285745E+07   0.256725E+04
   225   0.751680E+04   0.129034E+01   0.293210E+02   0.284345E+07   0.254464E+04
   226   0.751304E+04   0.133192E+01   0.314784E+02   0.282956E+07   0.252222E+04
   227   0.750842E+04   0.137574E+01   0.336463E+02   0.281577E+07   0.250000E+04
   228   0.750309E+04   0.142180E+01   0.358228E+02   0.280210E+07   0.247797E+04
   229   0.749696E+04   0.147019E+01   0.380063E+02   0.278853E+07   0.245613E+04
   230   0.748997E+04   0.152092E+01   0.401973E+02   0.277507E+07   0.243448E+04
   231   0.748211E+04   0.157408E+01   0.423949E+02   0.276171E+07   0.241303E+04
   232   0.747353E+04   0.162959E+01   0.445974E+02   0.274845E+07   0.239178E+04
   233   0.746416E+04   0.168770E+01   0.468030E+02   0.273529E+07   0.237073E+04
   234   0.745385E+04   0.174826E+01   0.490123E+02   0.272224E+07   0.234987E+04
   235   0.744282E+04   0.181136E+01   0.512237E+02   0.270928E+07   0.232921E+04
   236   0.743092E+04   0.187701E+01   0.534368E+02   0.269643E+07   0.230875E+04
   237   0.741823E+04   0.194529E+01   0.556500E+02   0.268367E+07   0.228849E+04
   238   0.740475E+04   0.201629E+01   0.578631E+02   0.267100E+07   0.226844E+04
   239   0.739054E+04   0.208987E+01   0.600752E+02   0.265843E+07   0.224858E+04
   240   0.737540E+04   0.216611E+01   0.622838E+02   0.264596E+07   0.222893E+04
   241   0.735961E+04   0.224518E+01   0.644894E+02   0.263358E+07   0.220948E+04
   242   0.734303E+04   0.232692E+01   0.666911E+02   0.262128E+07   0.219024E+04
   243   0.732565E+04   0.241151E+01   0.688871E+02   0.260908E+07   0.217120E+04
   244   0.730748E+04   0.249888E+01   0.710781E+02   0.259697E+07   0.215237E+04
   245   0.728852E+04   0.258911E+01   0.732608E+02   0.258495E+07   0.213374E+04
   246   0.726883E+04   0.268221E+01   0.754366E+02   0.257301E+07   0.211533E+04
   247   0.724843E+04   0.277812E+01   0.776029E+02   0.256116E+07   0.209712E+04
   248   0.722723E+04   0.287721E+01   0.797595E+02   0.254939E+07   0.207912E+04
   249   0.720539E+04   0.297899E+01   0.819056E+02   0.253771E+07   0.206133E+04
   250   0.718275E+04   0.308390E+01   0.840394E+02   0.252611E+07   0.204376E+04
   251   0.715946E+04   0.319166E+01   0.861615E+02   0.251459E+07   0.202639E+04
   252   0.713531E+04   0.330248E+01   0.882701E+02   0.250315E+07   0.200924E+04
   253   0.711067E+04   0.341614E+01   0.903636E+02   0.249179E+07   0.199229E+04
   254   0.708524E+04   0.353293E+01   0.924418E+02   0.248051E+07   0.197554E+04
   255   0.705911E+04   0.365254E+01   0.945045E+02   0.246930E+07   0.195899E+04
   256   0.703234E+04   0.377533E+01   0.965514E+02   0.245818E+07   0.194264E+04
   257   0.700495E+04   0.390087E+01   0.985743E+02   0.244713E+07   0.192647E+04
   258   0.697687E+04   0.402951E+01   0.100586E+03   0.243616E+07   0.191050E+04
   259   0.694816E+04   0.416110E+01   0.102570E+03   0.242527E+07   0.189471E+04
   260   0.691892E+04   0.429563E+01   0.104543E+03   0.241445E+07   0.187910E+04
   261   0.688899E+04   0.443302E+01   0.106481E+03   0.240371E+07   0.186367E+04
   262   0.685837E+04   0.457349E+01   0.108406E+03   0.239304E+07   0.184841E+04
   263   0.682745E+04   0.471681E+01   0.110312E+03   0.238244E+07   0.183333E+04
   264   0.679577E+04   0.486305E+01   0.112190E+03   0.237192E+07   0.181841E+04
   265   0.676343E+04   0.501213E+01   0.114032E+03   0.236147E+07   0.180366E+04
   266   0.673063E+04   0.516426E+01   0.115862E+03   0.235109E+07   0.178907E+04
   267   0.669718E+04   0.531907E+01   0.117656E+03   0.234078E+07   0.177463E+04
   268   0.666320E+04   0.547692E+01   0.119428E+03   0.233055E+07   0.176036E+04
   269   0.662857E+04   0.563751E+01   0.121172E+03   0.232038E+07   0.174623E+04
   270   0.659358E+04   0.580091E+01   0.122887E+03   0.231028E+07   0.173224E+04
   271   0.655801E+04   0.596704E+01   0.124574E+03   0.230025E+07   0.171841E+04
   272   0.652210E+04   0.613618E+01   0.126223E+03   0.229029E+07   0.170471E+04
   273   0.648561E+04   0.630775E+01   0.127851E+03   0.228039E+07   0.169115E+04
   274   0.644870E+04   0.648232E+01   0.129433E+03   0.227056E+07   0.167772E+04
   275   0.641130E+04   0.665936E+01   0.130994E+03   0.226080E+07   0.166442E+04
   276   0.637356E+04   0.683911E+01   0.132510E+03   0.225110E+07   0.165125E+04
   277   0.633527E+04   0.702155E+01   0.134003E+03   0.224147E+07   0.163821E+04
   278   0.629664E+04   0.720660E+01   0.135450E+03   0.223190E+07   0.162528E+04
   279   0.625762E+04   0.739418E+01   0.136860E+03   0.222239E+07   0.161247E+04
   280   0.621819E+04   0.758428E+01   0.138246E+03   0.221295E+07   0.159977E+04
   281   0.617852E+04   0.777698E+01   0.139586E+03   0.220357E+07   0.158718E+04
   282   0.613831E+04   0.797196E+01   0.140888E+03   0.219425E+07   0.157470E+04
   283   0.609786E+04   0.816946E+01   0.142151E+03   0.218499E+07   0.156232E+04
   284   0.605710E+04   0.836938E+01   0.143375E+03   0.217579E+07   0.155004E+04
   285   0.601603E+04   0.857171E+01   0.144560E+03   0.216665E+07   0.153786E+04
   286   0.597459E+04   0.877632E+01   0.145697E+03   0.215757E+07   0.152577E+04
