#    L    TT             EE             BB             TE          
    91   0.103341E+05   0.264776E+01   0.402279E-01  -0.731381E+02
    92   0.104604E+05   0.271177E+01   0.411230E-01  -0.757823E+02
    93   0.105877E+05   0.277568E+01   0.420284E-01  -0.784459E+02
    94   0.107157E+05   0.283938E+01   0.429444E-01  -0.811259E+02
    95   0.108446E+05   0.290285E+01   0.438710E-01  -0.838212E+02
    96   0.109742E+05   0.296601E+01   0.448082E-01  -0.865294E+02
    97   0.111048E+05   0.302881E+01   0.457560E-01  -0.892483E+02
    98   0.112363E+05   0.309120E+01   0.467147E-01  -0.919738E+02
    99   0.113684E+05   0.315309E+01   0.476842E-01  -0.947073E+02
   100   0.115015E+05   0.321445E+01   0.486646E-01  -0.974426E+02
   101   0.116352E+05   0.327527E+01   0.496560E-01  -0.100181E+03
   102   0.117701E+05   0.333538E+01   0.506585E-01  -0.102919E+03
   103   0.119055E+05   0.339480E+01   0.516721E-01  -0.105655E+03
   104   0.120416E+05   0.345348E+01   0.526969E-01  -0.108385E+03
   105   0.121785E+05   0.351131E+01   0.537331E-01  -0.111109E+03
   106   0.123162E+05   0.356832E+01   0.547806E-01  -0.113824E+03
   107   0.124543E+05   0.362431E+01   0.558396E-01  -0.116527E+03
   108   0.125933E+05   0.367932E+01   0.569101E-01  -0.119217E+03
   109   0.127330E+05   0.373322E+01   0.579922E-01  -0.121891E+03
   110   0.128733E+05   0.378596E+01   0.590861E-01  -0.124546E+03
   111   0.130142E+05   0.383760E+01   0.601918E-01  -0.127182E+03
   112   0.131558E+05   0.388800E+01   0.613094E-01  -0.129796E+03
   113   0.132980E+05   0.393715E+01   0.624390E-01  -0.132385E+03
   114   0.134408E+05   0.398494E+01   0.635806E-01  -0.134946E+03
   115   0.135841E+05   0.403149E+01   0.647344E-01  -0.137478E+03
   116   0.137278E+05   0.407655E+01   0.659005E-01  -0.139977E+03
   117   0.138721E+05   0.412015E+01   0.670790E-01  -0.142443E+03
   118   0.140169E+05   0.416242E+01   0.682699E-01  -0.144872E+03
   119   0.141619E+05   0.420318E+01   0.694733E-01  -0.147262E+03
   120   0.143073E+05   0.424225E+01   0.706895E-01  -0.149611E+03
   121   0.144529E+05   0.427990E+01   0.719183E-01  -0.151916E+03
   122   0.145988E+05   0.431579E+01   0.731600E-01  -0.154176E+03
   123   0.147448E+05   0.434998E+01   0.744147E-01  -0.156388E+03
   124   0.148910E+05   0.438251E+01   0.756824E-01  -0.158548E+03
   125   0.150374E+05   0.441327E+01   0.769633E-01  -0.160655E+03
   126   0.151838E+05   0.444231E+01   0.782574E-01  -0.162709E+03
   127   0.153302E+05   0.446945E+01   0.795649E-01  -0.164706E+03
   128   0.154766E+05   0.449480E+01   0.808859E-01  -0.166643E+03
