#    L    TT             EE             BB             TE          
    91   0.327275E+04   0.848225E+00   0.201420E-01  -0.236791E+02
    92   0.331149E+04   0.868362E+00   0.202025E-01  -0.245068E+02
    93   0.335059E+04   0.888459E+00   0.202568E-01  -0.253405E+02
    94   0.338983E+04   0.908472E+00   0.203050E-01  -0.261788E+02
    95   0.342944E+04   0.928398E+00   0.203474E-01  -0.270221E+02
    96   0.346913E+04   0.948219E+00   0.203840E-01  -0.278697E+02
    97   0.350932E+04   0.967913E+00   0.204151E-01  -0.287206E+02
    98   0.354982E+04   0.987471E+00   0.204408E-01  -0.295724E+02
    99   0.359045E+04   0.100685E+01   0.204612E-01  -0.304280E+02
   100   0.363146E+04   0.102604E+01   0.204766E-01  -0.312827E+02
   101   0.367268E+04   0.104511E+01   0.204871E-01  -0.321395E+02
   102   0.371450E+04   0.106390E+01   0.204928E-01  -0.329959E+02
   103   0.375632E+04   0.108248E+01   0.204939E-01  -0.338526E+02
   104   0.379843E+04   0.110084E+01   0.204905E-01  -0.347064E+02
   105   0.384076E+04   0.111891E+01   0.204829E-01  -0.355587E+02
   106   0.388339E+04   0.113675E+01   0.204712E-01  -0.364085E+02
   107   0.392602E+04   0.115422E+01   0.204555E-01  -0.372544E+02
   108   0.396910E+04   0.117138E+01   0.204361E-01  -0.380968E+02
   109   0.401240E+04   0.118815E+01   0.204130E-01  -0.389342E+02
   110   0.405585E+04   0.120454E+01   0.203864E-01  -0.397648E+02
   111   0.409952E+04   0.122061E+01   0.203565E-01  -0.405902E+02
   112   0.414341E+04   0.123628E+01   0.203236E-01  -0.414092E+02
   113   0.418759E+04   0.125155E+01   0.202877E-01  -0.422203E+02
   114   0.423191E+04   0.126635E+01   0.202492E-01  -0.430225E+02
   115   0.427650E+04   0.128081E+01   0.202082E-01  -0.438156E+02
   116   0.432115E+04   0.129472E+01   0.201649E-01  -0.445987E+02
   117   0.436615E+04   0.130814E+01   0.201195E-01  -0.453707E+02
   118   0.441133E+04   0.132122E+01   0.200723E-01  -0.461323E+02
   119   0.445656E+04   0.133381E+01   0.200235E-01  -0.468810E+02
   120   0.450196E+04   0.134576E+01   0.199732E-01  -0.476166E+02
   121   0.454740E+04   0.135736E+01   0.199217E-01  -0.483390E+02
   122   0.459294E+04   0.136831E+01   0.198692E-01  -0.490471E+02
   123   0.463857E+04   0.137868E+01   0.198159E-01  -0.497408E+02
   124   0.468429E+04   0.138855E+01   0.197619E-01  -0.504169E+02
   125   0.473002E+04   0.139784E+01   0.197076E-01  -0.510775E+02
   126   0.477583E+04   0.140661E+01   0.196532E-01  -0.517215E+02
   127   0.482165E+04   0.141472E+01   0.195987E-01  -0.523481E+02
   128   0.486746E+04   0.142231E+01   0.195446E-01  -0.529564E+02
   129   0.491334E+04   0.142924E+01   0.194909E-01  -0.535452E+02
   130   0.495921E+04   0.143549E+01   0.194378E-01  -0.541139E+02
   131   0.500506E+04   0.144122E+01   0.193856E-01  -0.546635E+02
   132   0.505097E+04   0.144627E+01   0.193345E-01  -0.551911E+02
   133   0.509679E+04   0.145073E+01   0.192846E-01  -0.556987E+02
   134   0.514258E+04   0.145459E+01   0.192360E-01  -0.561818E+02
   135   0.518835E+04   0.145778E+01   0.191890E-01  -0.566432E+02
   136   0.523394E+04   0.146030E+01   0.191436E-01  -0.570792E+02
   137   0.527951E+04   0.146222E+01   0.191000E-01  -0.574917E+02
   138   0.532498E+04   0.146348E+01   0.190585E-01  -0.578793E+02
   139   0.537018E+04   0.146422E+01   0.190190E-01  -0.582410E+02
   140   0.541544E+04   0.146422E+01   0.189819E-01  -0.585776E+02
   141   0.546043E+04   0.146355E+01   0.189472E-01  -0.588866E+02
   142   0.550539E+04   0.146230E+01   0.189152E-01  -0.591686E+02
   143   0.555023E+04   0.146045E+01   0.188859E-01  -0.594237E+02
   144   0.559481E+04   0.145795E+01   0.188595E-01  -0.596509E+02
   145   0.563920E+04   0.145493E+01   0.188362E-01  -0.598493E+02
   146   0.568362E+04   0.145118E+01   0.188161E-01  -0.600189E+02
   147   0.572762E+04   0.144692E+01   0.187995E-01  -0.601580E+02
   148   0.577143E+04   0.144200E+01   0.187863E-01  -0.602681E+02
   149   0.581511E+04   0.143651E+01   0.187769E-01  -0.603474E+02
   150   0.585844E+04   0.143050E+01   0.187714E-01  -0.603938E+02
   151   0.590157E+04   0.142391E+01   0.187698E-01  -0.604101E+02
   152   0.594435E+04   0.141668E+01   0.187723E-01  -0.603946E+02
   153   0.598691E+04   0.140895E+01   0.187789E-01  -0.603452E+02
   154   0.602919E+04   0.140073E+01   0.187897E-01  -0.602640E+02
   155   0.607117E+04   0.139204E+01   0.188047E-01  -0.601502E+02
   156   0.611271E+04   0.138286E+01   0.188241E-01  -0.600037E+02
   157   0.615409E+04   0.137322E+01   0.188477E-01  -0.598231E+02
   158   0.619510E+04   0.136318E+01   0.188757E-01  -0.596090E+02
   159   0.623572E+04   0.135261E+01   0.189082E-01  -0.593614E+02
   160   0.627603E+04   0.134167E+01   0.189452E-01  -0.590787E+02
   161   0.631602E+04   0.133042E+01   0.189867E-01  -0.587624E+02
   162   0.635561E+04   0.131874E+01   0.190328E-01  -0.584124E+02
   163   0.639495E+04   0.130669E+01   0.190836E-01  -0.580272E+02
   164   0.643374E+04   0.129437E+01   0.191390E-01  -0.576081E+02
   165   0.647227E+04   0.128169E+01   0.191992E-01  -0.571531E+02
   166   0.651039E+04   0.126883E+01   0.192641E-01  -0.566634E+02
   167   0.654816E+04   0.125555E+01   0.193339E-01  -0.561397E+02
   168   0.658536E+04   0.124224E+01   0.194086E-01  -0.555798E+02
   169   0.662214E+04   0.122860E+01   0.194881E-01  -0.549837E+02
   170   0.665849E+04   0.121486E+01   0.195726E-01  -0.543528E+02
   171   0.669426E+04   0.120104E+01   0.196622E-01  -0.536847E+02
   172   0.672952E+04   0.118705E+01   0.197567E-01  -0.529809E+02
   173   0.676418E+04   0.117292E+01   0.198564E-01  -0.522415E+02
   174   0.679841E+04   0.115893E+01   0.199611E-01  -0.514662E+02
   175   0.683210E+04   0.114480E+01   0.200711E-01  -0.506544E+02
   176   0.686513E+04   0.113076E+01   0.201862E-01  -0.498060E+02
   177   0.689762E+04   0.111675E+01   0.203064E-01  -0.489225E+02
