#    L    TT             EE             BB             TE          
    91   0.318239E+04   0.809258E+00   0.382511E-02  -0.225771E+02
    92   0.322140E+04   0.828920E+00   0.391042E-02  -0.233960E+02
    93   0.326076E+04   0.848552E+00   0.399674E-02  -0.242213E+02
    94   0.330024E+04   0.868112E+00   0.408409E-02  -0.250513E+02
    95   0.334007E+04   0.887596E+00   0.417246E-02  -0.258866E+02
    96   0.337996E+04   0.906985E+00   0.426188E-02  -0.267264E+02
    97   0.342033E+04   0.926261E+00   0.435233E-02  -0.275698E+02
    98   0.346099E+04   0.945412E+00   0.444383E-02  -0.284144E+02
    99   0.350177E+04   0.964397E+00   0.453638E-02  -0.292630E+02
   100   0.354289E+04   0.983212E+00   0.462999E-02  -0.301111E+02
   101   0.358422E+04   0.100191E+01   0.472466E-02  -0.309614E+02
   102   0.362612E+04   0.102034E+01   0.482040E-02  -0.318116E+02
   103   0.366800E+04   0.103858E+01   0.491722E-02  -0.326623E+02
   104   0.371016E+04   0.105661E+01   0.501512E-02  -0.335104E+02
   105   0.375252E+04   0.107437E+01   0.511411E-02  -0.343572E+02
   106   0.379515E+04   0.109192E+01   0.521419E-02  -0.352019E+02
   107   0.383777E+04   0.110910E+01   0.531537E-02  -0.360428E+02
   108   0.388081E+04   0.112599E+01   0.541765E-02  -0.368805E+02
   109   0.392405E+04   0.114252E+01   0.552105E-02  -0.377134E+02
   110   0.396743E+04   0.115867E+01   0.562557E-02  -0.385398E+02
   111   0.401100E+04   0.117452E+01   0.573121E-02  -0.393612E+02
   112   0.405478E+04   0.118998E+01   0.583798E-02  -0.401765E+02
   113   0.409883E+04   0.120507E+01   0.594590E-02  -0.409841E+02
   114   0.414299E+04   0.121969E+01   0.605495E-02  -0.417831E+02
   115   0.418742E+04   0.123400E+01   0.616517E-02  -0.425732E+02
   116   0.423188E+04   0.124777E+01   0.627654E-02  -0.433535E+02
   117   0.427666E+04   0.126107E+01   0.638908E-02  -0.441231E+02
   118   0.432162E+04   0.127404E+01   0.650280E-02  -0.448825E+02
   119   0.436661E+04   0.128655E+01   0.661770E-02  -0.456293E+02
   120   0.441176E+04   0.129842E+01   0.673380E-02  -0.463632E+02
   121   0.445692E+04   0.130997E+01   0.685110E-02  -0.470842E+02
   122   0.450216E+04   0.132088E+01   0.696961E-02  -0.477912E+02
   123   0.454748E+04   0.133123E+01   0.708934E-02  -0.484840E+02
   124   0.459288E+04   0.134110E+01   0.721030E-02  -0.491595E+02
   125   0.463828E+04   0.135040E+01   0.733251E-02  -0.498197E+02
   126   0.468374E+04   0.135920E+01   0.745596E-02  -0.504637E+02
   127   0.472919E+04   0.136736E+01   0.758067E-02  -0.510905E+02
   128   0.477462E+04   0.137502E+01   0.770666E-02  -0.516992E+02
   129   0.482010E+04   0.138203E+01   0.783392E-02  -0.522889E+02
   130   0.486556E+04   0.138838E+01   0.796248E-02  -0.528585E+02
   131   0.491099E+04   0.139423E+01   0.809235E-02  -0.534095E+02
   132   0.495647E+04   0.139942E+01   0.822353E-02  -0.539387E+02
   133   0.500183E+04   0.140403E+01   0.835604E-02  -0.544482E+02
   134   0.504717E+04   0.140806E+01   0.848989E-02  -0.549335E+02
   135   0.509247E+04   0.141143E+01   0.862509E-02  -0.553974E+02
   136   0.513758E+04   0.141415E+01   0.876165E-02  -0.558361E+02
   137   0.518266E+04   0.141630E+01   0.889959E-02  -0.562517E+02
   138   0.522762E+04   0.141779E+01   0.903892E-02  -0.566427E+02
   139   0.527232E+04   0.141878E+01   0.917964E-02  -0.570082E+02
   140   0.531706E+04   0.141904E+01   0.932178E-02  -0.573487E+02
   141   0.536152E+04   0.141866E+01   0.946534E-02  -0.576620E+02
   142   0.540595E+04   0.141769E+01   0.961034E-02  -0.579488E+02
   143   0.545025E+04   0.141616E+01   0.975678E-02  -0.582088E+02
   144   0.549428E+04   0.141397E+01   0.990469E-02  -0.584413E+02
   145   0.553812E+04   0.141129E+01   0.100541E-01  -0.586453E+02
   146   0.558197E+04   0.140789E+01   0.102049E-01  -0.588209E+02
