#           k/h    P           
   0.420980E-02   0.214288E+05
   0.429484E-02   0.217672E+05
   0.438160E-02   0.220699E+05
   0.447012E-02   0.223741E+05
   0.456042E-02   0.226800E+05
   0.465255E-02   0.229873E+05
   0.474653E-02   0.233365E+05
   0.484242E-02   0.236468E+05
   0.494024E-02   0.239582E+05
   0.504004E-02   0.242706E+05
   0.514186E-02   0.246269E+05
   0.524573E-02   0.249413E+05
   0.535170E-02   0.252563E+05
   0.545981E-02   0.255718E+05
   0.557011E-02   0.259329E+05
   0.568263E-02   0.262493E+05
   0.579743E-02   0.265656E+05
   0.591455E-02   0.268818E+05
   0.603403E-02   0.272453E+05
   0.615592E-02   0.275610E+05
   0.628028E-02   0.278760E+05
   0.640715E-02   0.281900E+05
   0.653658E-02   0.285530E+05
   0.666863E-02   0.288650E+05
   0.680335E-02   0.291754E+05
   0.694078E-02   0.294840E+05
   0.708100E-02   0.298431E+05
   0.722404E-02   0.301480E+05
   0.736998E-02   0.304503E+05
   0.751886E-02   0.307499E+05
   0.767075E-02   0.310465E+05
   0.782571E-02   0.313949E+05
   0.798380E-02   0.316851E+05
   0.814509E-02   0.319715E+05
   0.830963E-02   0.322537E+05
   0.847750E-02   0.325889E+05
   0.864875E-02   0.328624E+05
   0.882347E-02   0.331309E+05
   0.900171E-02   0.333940E+05
   0.918356E-02   0.337109E+05
   0.936908E-02   0.339627E+05
   0.955835E-02   0.342081E+05
   0.975144E-02   0.344469E+05
   0.994843E-02   0.347400E+05
   0.101494E-01   0.349646E+05
   0.103544E-01   0.351815E+05
   0.105636E-01   0.353903E+05
   0.107770E-01   0.356536E+05
   0.109947E-01   0.358450E+05
   0.112168E-01   0.360271E+05
   0.114434E-01   0.361992E+05
   0.116746E-01   0.363612E+05
   0.119104E-01   0.365776E+05
   0.121510E-01   0.367187E+05
   0.123965E-01   0.368490E+05
   0.126469E-01   0.369683E+05
   0.129024E-01   0.371415E+05
   0.131631E-01   0.372361E+05
   0.134290E-01   0.373166E+05
   0.137003E-01   0.373818E+05
   0.139770E-01   0.374975E+05
   0.142594E-01   0.375315E+05
   0.145474E-01   0.375527E+05
   0.148413E-01   0.375634E+05
   0.151411E-01   0.376329E+05
   0.154470E-01   0.376291E+05
   0.157590E-01   0.376169E+05
   0.160774E-01   0.375919E+05
   0.164022E-01   0.376166E+05
   0.167335E-01   0.375524E+05
   0.170716E-01   0.374628E+05
   0.174164E-01   0.373483E+05
   0.177683E-01   0.372782E+05
   0.181272E-01   0.371219E+05
   0.184934E-01   0.369490E+05
   0.188670E-01   0.367618E+05
   0.192481E-01   0.365589E+05
   0.196370E-01   0.364026E+05
