#    L    TT             EE             BB             TE          
    90   0.220798E+02   0.156783E-01   0.108642E-01  -0.455464E+00
    91   0.214429E+02   0.157659E-01   0.108521E-01  -0.451579E+00
    92   0.208150E+02   0.158471E-01   0.108349E-01  -0.447447E+00
    93   0.201963E+02   0.159219E-01   0.108129E-01  -0.443077E+00
    94   0.195869E+02   0.159903E-01   0.107862E-01  -0.438479E+00
    95   0.189869E+02   0.160523E-01   0.107547E-01  -0.433661E+00
    96   0.183964E+02   0.161081E-01   0.107187E-01  -0.428633E+00
    97   0.178156E+02   0.161575E-01   0.106782E-01  -0.423403E+00
    98   0.172445E+02   0.162007E-01   0.106333E-01  -0.417980E+00
    99   0.166833E+02   0.162377E-01   0.105842E-01  -0.412374E+00
   100   0.161320E+02   0.162685E-01   0.105309E-01  -0.406593E+00
   101   0.155908E+02   0.162931E-01   0.104736E-01  -0.400646E+00
   102   0.150599E+02   0.163115E-01   0.104123E-01  -0.394543E+00
   103   0.145392E+02   0.163239E-01   0.103472E-01  -0.388293E+00
   104   0.140290E+02   0.163301E-01   0.102784E-01  -0.381904E+00
   105   0.135294E+02   0.163303E-01   0.102059E-01  -0.375385E+00
   106   0.130403E+02   0.163244E-01   0.101298E-01  -0.368746E+00
   107   0.125621E+02   0.163126E-01   0.100504E-01  -0.361995E+00
   108   0.120948E+02   0.162947E-01   0.996758E-02  -0.355141E+00
   109   0.116385E+02   0.162709E-01   0.988157E-02  -0.348195E+00
   110   0.111933E+02   0.162412E-01   0.979245E-02  -0.341163E+00
   111   0.107592E+02   0.162055E-01   0.970032E-02  -0.334056E+00
   112   0.103364E+02   0.161641E-01   0.960530E-02  -0.326880E+00
   113   0.992456E+01   0.161169E-01   0.950754E-02  -0.319642E+00
   114   0.952368E+01   0.160640E-01   0.940717E-02  -0.312350E+00
   115   0.913366E+01   0.160056E-01   0.930432E-02  -0.305010E+00
   116   0.875440E+01   0.159416E-01   0.919913E-02  -0.297630E+00
   117   0.838581E+01   0.158723E-01   0.909173E-02  -0.290216E+00
   118   0.802778E+01   0.157975E-01   0.898225E-02  -0.282774E+00
   119   0.768023E+01   0.157175E-01   0.887083E-02  -0.275313E+00
   120   0.734306E+01   0.156323E-01   0.875760E-02  -0.267840E+00
   121   0.701617E+01   0.155420E-01   0.864270E-02  -0.260360E+00
   122   0.669947E+01   0.154467E-01   0.852625E-02  -0.252881E+00
   123   0.639286E+01   0.153464E-01   0.840840E-02  -0.245411E+00
   124   0.609625E+01   0.152412E-01   0.828928E-02  -0.237955E+00
   125   0.580955E+01   0.151313E-01   0.816902E-02  -0.230521E+00
